m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.24
0,3,ceil,wrap,10.22
0,4,ceil,wrap,9.59
0,5,ceil,wrap,9.59
0,6,ceil,wrap,9.48
0,7,ceil,wrap,10.0
0,8,ceil,wrap,10.17
1,0,ceil,wrap,10.0
1,1,ceil,wrap,10.29
1,2,ceil,wrap,10.35
1,3,ceil,wrap,10.16
1,4,ceil,wrap,10.12
1,5,ceil,wrap,10.08
1,6,ceil,wrap,9.97
1,7,ceil,wrap,9.74
1,8,ceil,wrap,9.86
2,0,ceil,wrap,10.49
2,1,ceil,wrap,11.32
2,2,ceil,wrap,10.95
2,3,ceil,wrap,11.59
2,4,ceil,wrap,10.98
2,5,ceil,wrap,10.73
2,6,ceil,wrap,10.51
2,7,ceil,wrap,10.6
2,8,ceil,wrap,10.28
3,0,ceil,wrap,8.57
3,1,ceil,wrap,7.98
3,2,ceil,wrap,7.61
3,3,ceil,wrap,7.18
3,4,ceil,wrap,6.98
3,5,ceil,wrap,6.9
3,6,ceil,wrap,7.0
3,7,ceil,wrap,7.11
3,8,ceil,wrap,7.11
4,0,ceil,wrap,10.43
4,1,ceil,wrap,10.39
4,2,ceil,wrap,10.28
4,3,ceil,wrap,10.0
4,4,ceil,wrap,10.13
4,5,ceil,wrap,10.09
4,6,ceil,wrap,10.18
4,7,ceil,wrap,10.18
4,8,ceil,wrap,10.11
5,0,ceil,wrap,9.8
5,1,ceil,wrap,9.83
5,2,ceil,wrap,9.88
5,3,ceil,wrap,9.87
5,4,ceil,wrap,9.97
5,5,ceil,wrap,9.9
5,6,ceil,wrap,9.9
5,7,ceil,wrap,9.87
5,8,ceil,wrap,9.89
