m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.88
0,3,floor,wrap,9.62
0,4,floor,wrap,9.94
0,5,floor,wrap,10.58
0,6,floor,wrap,10.21
0,7,floor,wrap,9.95
0,8,floor,wrap,10.09
1,0,floor,wrap,10.49
1,1,floor,wrap,9.95
1,2,floor,wrap,9.63
1,3,floor,wrap,10.18
1,4,floor,wrap,10.06
1,5,floor,wrap,10.03
1,6,floor,wrap,10.5
1,7,floor,wrap,10.29
1,8,floor,wrap,10.37
2,0,floor,wrap,9.92
2,1,floor,wrap,9.62
2,2,floor,wrap,10.41
2,3,floor,wrap,10.42
2,4,floor,wrap,10.35
2,5,floor,wrap,10.28
2,6,floor,wrap,11.01
2,7,floor,wrap,9.84
2,8,floor,wrap,9.97
3,0,floor,wrap,10.8
3,1,floor,wrap,10.39
3,2,floor,wrap,11.19
3,3,floor,wrap,11.84
3,4,floor,wrap,11.9
3,5,floor,wrap,12.13
3,6,floor,wrap,11.77
3,7,floor,wrap,11.14
3,8,floor,wrap,11.78
4,0,floor,wrap,8.84
4,1,floor,wrap,8.27
4,2,floor,wrap,8.29
4,3,floor,wrap,8.42
4,4,floor,wrap,8.3
4,5,floor,wrap,8.73
4,6,floor,wrap,8.32
4,7,floor,wrap,7.95
4,8,floor,wrap,8.43
5,0,floor,wrap,9.1
5,1,floor,wrap,8.98
5,2,floor,wrap,9.1
5,3,floor,wrap,9.08
5,4,floor,wrap,9.01
5,5,floor,wrap,9.05
5,6,floor,wrap,9.02
5,7,floor,wrap,9.03
5,8,floor,wrap,9.04
