m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.24
0,3,stochastic,wrap,10.62
0,4,stochastic,wrap,10.0
0,5,stochastic,wrap,9.77
0,6,stochastic,wrap,10.46
0,7,stochastic,wrap,10.15
0,8,stochastic,wrap,10.43
1,0,stochastic,wrap,10.19
1,1,stochastic,wrap,10.16
1,2,stochastic,wrap,9.87
1,3,stochastic,wrap,9.74
1,4,stochastic,wrap,10.17
1,5,stochastic,wrap,10.36
1,6,stochastic,wrap,10.29
1,7,stochastic,wrap,10.27
1,8,stochastic,wrap,10.41
2,0,stochastic,wrap,8.44
2,1,stochastic,wrap,9.19
2,2,stochastic,wrap,8.4
2,3,stochastic,wrap,7.84
2,4,stochastic,wrap,7.7
2,5,stochastic,wrap,7.37
2,6,stochastic,wrap,7.62
2,7,stochastic,wrap,7.3
2,8,stochastic,wrap,7.53
3,0,stochastic,wrap,76.12
3,1,stochastic,wrap,82.38
3,2,stochastic,wrap,79.65
3,3,stochastic,wrap,78.35
3,4,stochastic,wrap,77.24
3,5,stochastic,wrap,77.06
3,6,stochastic,wrap,76.64
3,7,stochastic,wrap,76.67
3,8,stochastic,wrap,76.26
4,0,stochastic,wrap,98.66
4,1,stochastic,wrap,98.53
4,2,stochastic,wrap,98.63
4,3,stochastic,wrap,98.64
4,4,stochastic,wrap,98.62
4,5,stochastic,wrap,98.6
4,6,stochastic,wrap,98.6
4,7,stochastic,wrap,98.66
4,8,stochastic,wrap,98.64
5,0,stochastic,wrap,98.55
5,1,stochastic,wrap,98.46
5,2,stochastic,wrap,98.65
5,3,stochastic,wrap,98.62
5,4,stochastic,wrap,98.54
5,5,stochastic,wrap,98.64
5,6,stochastic,wrap,98.57
5,7,stochastic,wrap,98.6
5,8,stochastic,wrap,98.64
