m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.53
0,3,nearest,saturate,98.61
0,4,nearest,saturate,98.68
0,5,nearest,saturate,98.58
0,6,nearest,saturate,98.54
0,7,nearest,saturate,98.66
0,8,nearest,saturate,98.57
1,0,nearest,saturate,98.67
1,1,nearest,saturate,98.48
1,2,nearest,saturate,98.65
1,3,nearest,saturate,98.58
1,4,nearest,saturate,98.5
1,5,nearest,saturate,98.62
1,6,nearest,saturate,98.58
1,7,nearest,saturate,98.59
1,8,nearest,saturate,98.65
2,0,nearest,saturate,98.51
2,1,nearest,saturate,98.45
2,2,nearest,saturate,98.61
2,3,nearest,saturate,98.62
2,4,nearest,saturate,98.55
2,5,nearest,saturate,98.55
2,6,nearest,saturate,98.55
2,7,nearest,saturate,98.63
2,8,nearest,saturate,98.53
3,0,nearest,saturate,98.62
3,1,nearest,saturate,98.52
3,2,nearest,saturate,98.68
3,3,nearest,saturate,98.64
3,4,nearest,saturate,98.65
3,5,nearest,saturate,98.52
3,6,nearest,saturate,98.53
3,7,nearest,saturate,98.58
3,8,nearest,saturate,98.62
4,0,nearest,saturate,98.52
4,1,nearest,saturate,98.52
4,2,nearest,saturate,98.59
4,3,nearest,saturate,98.54
4,4,nearest,saturate,98.59
4,5,nearest,saturate,98.46
4,6,nearest,saturate,98.57
4,7,nearest,saturate,98.55
4,8,nearest,saturate,98.54
5,0,nearest,saturate,98.66
5,1,nearest,saturate,98.66
5,2,nearest,saturate,98.59
5,3,nearest,saturate,98.53
5,4,nearest,saturate,98.59
5,5,nearest,saturate,98.62
5,6,nearest,saturate,98.57
5,7,nearest,saturate,98.61
5,8,nearest,saturate,98.57
