m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,10.15
0,3,stochastic,saturate,10.28
0,4,stochastic,saturate,10.36
0,5,stochastic,saturate,11.16
0,6,stochastic,saturate,11.33
0,7,stochastic,saturate,10.78
0,8,stochastic,saturate,11.69
1,0,stochastic,saturate,13.31
1,1,stochastic,saturate,10.58
1,2,stochastic,saturate,10.41
1,3,stochastic,saturate,11.24
1,4,stochastic,saturate,10.74
1,5,stochastic,saturate,10.44
1,6,stochastic,saturate,10.86
1,7,stochastic,saturate,10.97
1,8,stochastic,saturate,11.17
2,0,stochastic,saturate,10.14
2,1,stochastic,saturate,10.33
2,2,stochastic,saturate,11.01
2,3,stochastic,saturate,10.11
2,4,stochastic,saturate,11.53
2,5,stochastic,saturate,10.92
2,6,stochastic,saturate,10.4
2,7,stochastic,saturate,10.91
2,8,stochastic,saturate,11.51
3,0,stochastic,saturate,12.96
3,1,stochastic,saturate,10.17
3,2,stochastic,saturate,10.7
3,3,stochastic,saturate,10.71
3,4,stochastic,saturate,10.51
3,5,stochastic,saturate,10.73
3,6,stochastic,saturate,11.18
3,7,stochastic,saturate,11.17
3,8,stochastic,saturate,10.53
4,0,stochastic,saturate,11.75
4,1,stochastic,saturate,10.23
4,2,stochastic,saturate,10.16
4,3,stochastic,saturate,11.47
4,4,stochastic,saturate,10.62
4,5,stochastic,saturate,11.25
4,6,stochastic,saturate,10.97
4,7,stochastic,saturate,10.35
4,8,stochastic,saturate,11.41
5,0,stochastic,saturate,9.11
5,1,stochastic,saturate,10.94
5,2,stochastic,saturate,10.49
5,3,stochastic,saturate,9.42
5,4,stochastic,saturate,10.58
5,5,stochastic,saturate,11.48
5,6,stochastic,saturate,10.85
5,7,stochastic,saturate,10.65
5,8,stochastic,saturate,11.76
