m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.06
0,3,stochastic,wrap,10.14
0,4,stochastic,wrap,10.27
0,5,stochastic,wrap,10.26
0,6,stochastic,wrap,10.21
0,7,stochastic,wrap,10.01
0,8,stochastic,wrap,10.07
1,0,stochastic,wrap,10.13
1,1,stochastic,wrap,10.12
1,2,stochastic,wrap,10.62
1,3,stochastic,wrap,9.74
1,4,stochastic,wrap,10.2
1,5,stochastic,wrap,10.16
1,6,stochastic,wrap,9.79
1,7,stochastic,wrap,10.42
1,8,stochastic,wrap,10.82
2,0,stochastic,wrap,9.74
2,1,stochastic,wrap,9.99
2,2,stochastic,wrap,9.95
2,3,stochastic,wrap,9.92
2,4,stochastic,wrap,10.7
2,5,stochastic,wrap,10.05
2,6,stochastic,wrap,9.68
2,7,stochastic,wrap,10.12
2,8,stochastic,wrap,10.25
3,0,stochastic,wrap,7.83
3,1,stochastic,wrap,7.43
3,2,stochastic,wrap,7.42
3,3,stochastic,wrap,7.6
3,4,stochastic,wrap,7.81
3,5,stochastic,wrap,7.15
3,6,stochastic,wrap,6.92
3,7,stochastic,wrap,7.11
3,8,stochastic,wrap,8.06
4,0,stochastic,wrap,7.75
4,1,stochastic,wrap,7.29
4,2,stochastic,wrap,7.08
4,3,stochastic,wrap,6.84
4,4,stochastic,wrap,6.09
4,5,stochastic,wrap,6.75
4,6,stochastic,wrap,6.67
4,7,stochastic,wrap,7.23
4,8,stochastic,wrap,7.54
5,0,stochastic,wrap,8.63
5,1,stochastic,wrap,9.19
5,2,stochastic,wrap,8.71
5,3,stochastic,wrap,8.57
5,4,stochastic,wrap,8.95
5,5,stochastic,wrap,9.6
5,6,stochastic,wrap,8.99
5,7,stochastic,wrap,8.63
5,8,stochastic,wrap,10.16
