m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.5
0,3,trunc,saturate,98.59
0,4,trunc,saturate,98.59
0,5,trunc,saturate,98.64
0,6,trunc,saturate,98.52
0,7,trunc,saturate,98.65
0,8,trunc,saturate,98.57
1,0,trunc,saturate,98.31
1,1,trunc,saturate,98.31
1,2,trunc,saturate,98.55
1,3,trunc,saturate,98.55
1,4,trunc,saturate,98.51
1,5,trunc,saturate,98.65
1,6,trunc,saturate,98.6
1,7,trunc,saturate,98.6
1,8,trunc,saturate,98.66
2,0,trunc,saturate,98.17
2,1,trunc,saturate,98.31
2,2,trunc,saturate,98.59
2,3,trunc,saturate,98.64
2,4,trunc,saturate,98.55
2,5,trunc,saturate,98.6
2,6,trunc,saturate,98.56
2,7,trunc,saturate,98.62
2,8,trunc,saturate,98.52
3,0,trunc,saturate,98.26
3,1,trunc,saturate,98.24
3,2,trunc,saturate,98.58
3,3,trunc,saturate,98.61
3,4,trunc,saturate,98.61
3,5,trunc,saturate,98.53
3,6,trunc,saturate,98.54
3,7,trunc,saturate,98.58
3,8,trunc,saturate,98.63
4,0,trunc,saturate,98.21
4,1,trunc,saturate,98.33
4,2,trunc,saturate,98.61
4,3,trunc,saturate,98.6
4,4,trunc,saturate,98.63
4,5,trunc,saturate,98.44
4,6,trunc,saturate,98.56
4,7,trunc,saturate,98.54
4,8,trunc,saturate,98.56
5,0,trunc,saturate,98.21
5,1,trunc,saturate,98.37
5,2,trunc,saturate,98.55
5,3,trunc,saturate,98.58
5,4,trunc,saturate,98.57
5,5,trunc,saturate,98.68
5,6,trunc,saturate,98.55
5,7,trunc,saturate,98.59
5,8,trunc,saturate,98.57
