m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.27
0,3,ceil,saturate,98.28
0,4,ceil,saturate,98.3
0,5,ceil,saturate,98.22
0,6,ceil,saturate,98.28
0,7,ceil,saturate,98.26
0,8,ceil,saturate,98.26
1,0,ceil,saturate,97.37
1,1,ceil,saturate,98.25
1,2,ceil,saturate,98.23
1,3,ceil,saturate,98.24
1,4,ceil,saturate,98.27
1,5,ceil,saturate,98.21
1,6,ceil,saturate,98.26
1,7,ceil,saturate,98.28
1,8,ceil,saturate,98.26
2,0,ceil,saturate,97.36
2,1,ceil,saturate,98.22
2,2,ceil,saturate,98.2
2,3,ceil,saturate,98.17
2,4,ceil,saturate,98.17
2,5,ceil,saturate,98.17
2,6,ceil,saturate,98.14
2,7,ceil,saturate,98.14
2,8,ceil,saturate,98.32
3,0,ceil,saturate,97.31
3,1,ceil,saturate,98.12
3,2,ceil,saturate,98.21
3,3,ceil,saturate,98.25
3,4,ceil,saturate,98.17
3,5,ceil,saturate,98.37
3,6,ceil,saturate,98.17
3,7,ceil,saturate,98.22
3,8,ceil,saturate,98.17
4,0,ceil,saturate,97.34
4,1,ceil,saturate,98.23
4,2,ceil,saturate,98.24
4,3,ceil,saturate,98.31
4,4,ceil,saturate,98.21
4,5,ceil,saturate,98.14
4,6,ceil,saturate,98.22
4,7,ceil,saturate,98.18
4,8,ceil,saturate,98.24
5,0,ceil,saturate,97.4
5,1,ceil,saturate,98.31
5,2,ceil,saturate,98.27
5,3,ceil,saturate,98.25
5,4,ceil,saturate,98.21
5,5,ceil,saturate,98.23
5,6,ceil,saturate,98.19
5,7,ceil,saturate,98.24
5,8,ceil,saturate,98.26
