m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.14
0,3,ceil,wrap,9.95
0,4,ceil,wrap,10.16
0,5,ceil,wrap,9.62
0,6,ceil,wrap,9.99
0,7,ceil,wrap,10.21
0,8,ceil,wrap,10.13
1,0,ceil,wrap,9.6
1,1,ceil,wrap,10.42
1,2,ceil,wrap,9.44
1,3,ceil,wrap,9.16
1,4,ceil,wrap,9.7
1,5,ceil,wrap,9.66
1,6,ceil,wrap,9.69
1,7,ceil,wrap,9.57
1,8,ceil,wrap,9.55
2,0,ceil,wrap,10.71
2,1,ceil,wrap,19.27
2,2,ceil,wrap,17.65
2,3,ceil,wrap,16.38
2,4,ceil,wrap,16.11
2,5,ceil,wrap,16.33
2,6,ceil,wrap,15.45
2,7,ceil,wrap,15.74
2,8,ceil,wrap,15.48
3,0,ceil,wrap,89.84
3,1,ceil,wrap,94.27
3,2,ceil,wrap,93.43
3,3,ceil,wrap,93.35
3,4,ceil,wrap,92.82
3,5,ceil,wrap,92.82
3,6,ceil,wrap,92.75
3,7,ceil,wrap,92.82
3,8,ceil,wrap,92.85
4,0,ceil,wrap,97.32
4,1,ceil,wrap,98.16
4,2,ceil,wrap,98.19
4,3,ceil,wrap,98.21
4,4,ceil,wrap,98.14
4,5,ceil,wrap,98.09
4,6,ceil,wrap,98.16
4,7,ceil,wrap,98.16
4,8,ceil,wrap,98.14
5,0,ceil,wrap,97.4
5,1,ceil,wrap,98.31
5,2,ceil,wrap,98.27
5,3,ceil,wrap,98.25
5,4,ceil,wrap,98.21
5,5,ceil,wrap,98.23
5,6,ceil,wrap,98.19
5,7,ceil,wrap,98.24
5,8,ceil,wrap,98.26
