m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.07
0,3,trunc,saturate,98.26
0,4,trunc,saturate,98.26
0,5,trunc,saturate,98.17
0,6,trunc,saturate,98.22
0,7,trunc,saturate,98.23
0,8,trunc,saturate,98.27
1,0,trunc,saturate,96.65
1,1,trunc,saturate,97.15
1,2,trunc,saturate,98.08
1,3,trunc,saturate,98.24
1,4,trunc,saturate,98.33
1,5,trunc,saturate,98.26
1,6,trunc,saturate,98.18
1,7,trunc,saturate,98.24
1,8,trunc,saturate,98.27
2,0,trunc,saturate,96.78
2,1,trunc,saturate,97.29
2,2,trunc,saturate,98.04
2,3,trunc,saturate,98.19
2,4,trunc,saturate,98.17
2,5,trunc,saturate,98.16
2,6,trunc,saturate,98.11
2,7,trunc,saturate,98.14
2,8,trunc,saturate,98.29
3,0,trunc,saturate,96.65
3,1,trunc,saturate,97.09
3,2,trunc,saturate,97.99
3,3,trunc,saturate,98.22
3,4,trunc,saturate,98.21
3,5,trunc,saturate,98.27
3,6,trunc,saturate,98.18
3,7,trunc,saturate,98.25
3,8,trunc,saturate,98.18
4,0,trunc,saturate,96.55
4,1,trunc,saturate,97.21
4,2,trunc,saturate,97.99
4,3,trunc,saturate,98.19
4,4,trunc,saturate,98.15
4,5,trunc,saturate,98.22
4,6,trunc,saturate,98.23
4,7,trunc,saturate,98.2
4,8,trunc,saturate,98.25
5,0,trunc,saturate,96.65
5,1,trunc,saturate,97.15
5,2,trunc,saturate,98.08
5,3,trunc,saturate,98.12
5,4,trunc,saturate,98.17
5,5,trunc,saturate,98.19
5,6,trunc,saturate,98.13
5,7,trunc,saturate,98.21
5,8,trunc,saturate,98.32
