m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.31
0,3,nearest,saturate,98.32
0,4,nearest,saturate,98.34
0,5,nearest,saturate,98.46
0,6,nearest,saturate,98.36
0,7,nearest,saturate,98.45
0,8,nearest,saturate,98.31
1,0,nearest,saturate,98.29
1,1,nearest,saturate,98.15
1,2,nearest,saturate,98.33
1,3,nearest,saturate,98.36
1,4,nearest,saturate,98.3
1,5,nearest,saturate,98.35
1,6,nearest,saturate,98.38
1,7,nearest,saturate,98.28
1,8,nearest,saturate,98.39
2,0,nearest,saturate,98.41
2,1,nearest,saturate,98.26
2,2,nearest,saturate,98.28
2,3,nearest,saturate,98.34
2,4,nearest,saturate,98.31
2,5,nearest,saturate,98.3
2,6,nearest,saturate,98.36
2,7,nearest,saturate,98.31
2,8,nearest,saturate,98.29
3,0,nearest,saturate,98.31
3,1,nearest,saturate,98.25
3,2,nearest,saturate,98.36
3,3,nearest,saturate,98.33
3,4,nearest,saturate,98.34
3,5,nearest,saturate,98.35
3,6,nearest,saturate,98.33
3,7,nearest,saturate,98.37
3,8,nearest,saturate,98.38
4,0,nearest,saturate,98.28
4,1,nearest,saturate,98.29
4,2,nearest,saturate,98.4
4,3,nearest,saturate,98.36
4,4,nearest,saturate,98.34
4,5,nearest,saturate,98.31
4,6,nearest,saturate,98.37
4,7,nearest,saturate,98.31
4,8,nearest,saturate,98.34
5,0,nearest,saturate,98.29
5,1,nearest,saturate,98.3
5,2,nearest,saturate,98.36
5,3,nearest,saturate,98.32
5,4,nearest,saturate,98.31
5,5,nearest,saturate,98.4
5,6,nearest,saturate,98.4
5,7,nearest,saturate,98.37
5,8,nearest,saturate,98.3
