m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,98.4
0,3,floor,saturate,98.6
0,4,floor,saturate,98.53
0,5,floor,saturate,98.5
0,6,floor,saturate,98.64
0,7,floor,saturate,98.52
0,8,floor,saturate,98.58
1,0,floor,saturate,97.82
1,1,floor,saturate,98.05
1,2,floor,saturate,98.46
1,3,floor,saturate,98.54
1,4,floor,saturate,98.55
1,5,floor,saturate,98.63
1,6,floor,saturate,98.61
1,7,floor,saturate,98.58
1,8,floor,saturate,98.58
2,0,floor,saturate,97.83
2,1,floor,saturate,97.99
2,2,floor,saturate,98.46
2,3,floor,saturate,98.59
2,4,floor,saturate,98.48
2,5,floor,saturate,98.56
2,6,floor,saturate,98.6
2,7,floor,saturate,98.68
2,8,floor,saturate,98.63
3,0,floor,saturate,97.69
3,1,floor,saturate,98.04
3,2,floor,saturate,98.46
3,3,floor,saturate,98.51
3,4,floor,saturate,98.59
3,5,floor,saturate,98.57
3,6,floor,saturate,98.58
3,7,floor,saturate,98.62
3,8,floor,saturate,98.56
4,0,floor,saturate,97.77
4,1,floor,saturate,97.95
4,2,floor,saturate,98.52
4,3,floor,saturate,98.58
4,4,floor,saturate,98.66
4,5,floor,saturate,98.58
4,6,floor,saturate,98.59
4,7,floor,saturate,98.75
4,8,floor,saturate,98.56
5,0,floor,saturate,97.74
5,1,floor,saturate,97.97
5,2,floor,saturate,98.52
5,3,floor,saturate,98.56
5,4,floor,saturate,98.55
5,5,floor,saturate,98.6
5,6,floor,saturate,98.6
5,7,floor,saturate,98.66
5,8,floor,saturate,98.56
