m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.4
0,3,trunc,wrap,9.88
0,4,trunc,wrap,9.99
0,5,trunc,wrap,10.07
0,6,trunc,wrap,10.11
0,7,trunc,wrap,9.72
0,8,trunc,wrap,9.89
1,0,trunc,wrap,8.9
1,1,trunc,wrap,9.34
1,2,trunc,wrap,10.27
1,3,trunc,wrap,9.75
1,4,trunc,wrap,9.77
1,5,trunc,wrap,9.78
1,6,trunc,wrap,9.76
1,7,trunc,wrap,9.6
1,8,trunc,wrap,9.82
2,0,trunc,wrap,37.27
2,1,trunc,wrap,13.99
2,2,trunc,wrap,4.39
2,3,trunc,wrap,3.2
2,4,trunc,wrap,3.59
2,5,trunc,wrap,3.9
2,6,trunc,wrap,3.38
2,7,trunc,wrap,3.7
2,8,trunc,wrap,3.87
3,0,trunc,wrap,96.56
3,1,trunc,wrap,95.99
3,2,trunc,wrap,95.62
3,3,trunc,wrap,94.86
3,4,trunc,wrap,94.38
3,5,trunc,wrap,93.9
3,6,trunc,wrap,93.72
3,7,trunc,wrap,93.88
3,8,trunc,wrap,93.57
4,0,trunc,wrap,97.85
4,1,trunc,wrap,98.0
4,2,trunc,wrap,98.46
4,3,trunc,wrap,98.58
4,4,trunc,wrap,98.63
4,5,trunc,wrap,98.6
4,6,trunc,wrap,98.61
4,7,trunc,wrap,98.73
4,8,trunc,wrap,98.55
5,0,trunc,wrap,97.86
5,1,trunc,wrap,97.94
5,2,trunc,wrap,98.5
5,3,trunc,wrap,98.55
5,4,trunc,wrap,98.54
5,5,trunc,wrap,98.61
5,6,trunc,wrap,98.62
5,7,trunc,wrap,98.66
5,8,trunc,wrap,98.55
