m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,98.51
0,3,floor,saturate,98.52
0,4,floor,saturate,98.6
0,5,floor,saturate,98.63
0,6,floor,saturate,98.44
0,7,floor,saturate,98.48
0,8,floor,saturate,98.52
1,0,floor,saturate,98.12
1,1,floor,saturate,98.23
1,2,floor,saturate,98.48
1,3,floor,saturate,98.53
1,4,floor,saturate,98.56
1,5,floor,saturate,98.53
1,6,floor,saturate,98.57
1,7,floor,saturate,98.53
1,8,floor,saturate,98.5
2,0,floor,saturate,98.15
2,1,floor,saturate,98.19
2,2,floor,saturate,98.4
2,3,floor,saturate,98.57
2,4,floor,saturate,98.54
2,5,floor,saturate,98.5
2,6,floor,saturate,98.52
2,7,floor,saturate,98.65
2,8,floor,saturate,98.5
3,0,floor,saturate,98.22
3,1,floor,saturate,98.12
3,2,floor,saturate,98.4
3,3,floor,saturate,98.6
3,4,floor,saturate,98.55
3,5,floor,saturate,98.56
3,6,floor,saturate,98.49
3,7,floor,saturate,98.56
3,8,floor,saturate,98.48
4,0,floor,saturate,98.04
4,1,floor,saturate,98.16
4,2,floor,saturate,98.52
4,3,floor,saturate,98.5
4,4,floor,saturate,98.46
4,5,floor,saturate,98.51
4,6,floor,saturate,98.48
4,7,floor,saturate,98.54
4,8,floor,saturate,98.55
5,0,floor,saturate,98.15
5,1,floor,saturate,98.17
5,2,floor,saturate,98.5
5,3,floor,saturate,98.5
5,4,floor,saturate,98.48
5,5,floor,saturate,98.54
5,6,floor,saturate,98.56
5,7,floor,saturate,98.49
5,8,floor,saturate,98.48
