m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.67
0,3,nearest,saturate,98.69
0,4,nearest,saturate,98.7
0,5,nearest,saturate,98.7
0,6,nearest,saturate,98.67
0,7,nearest,saturate,98.76
0,8,nearest,saturate,98.69
1,0,nearest,saturate,98.71
1,1,nearest,saturate,98.74
1,2,nearest,saturate,98.66
1,3,nearest,saturate,98.73
1,4,nearest,saturate,98.67
1,5,nearest,saturate,98.77
1,6,nearest,saturate,98.77
1,7,nearest,saturate,98.76
1,8,nearest,saturate,98.75
2,0,nearest,saturate,98.7
2,1,nearest,saturate,98.56
2,2,nearest,saturate,98.77
2,3,nearest,saturate,98.74
2,4,nearest,saturate,98.75
2,5,nearest,saturate,98.73
2,6,nearest,saturate,98.81
2,7,nearest,saturate,98.78
2,8,nearest,saturate,98.72
3,0,nearest,saturate,98.66
3,1,nearest,saturate,98.66
3,2,nearest,saturate,98.68
3,3,nearest,saturate,98.67
3,4,nearest,saturate,98.78
3,5,nearest,saturate,98.69
3,6,nearest,saturate,98.73
3,7,nearest,saturate,98.71
3,8,nearest,saturate,98.67
4,0,nearest,saturate,98.71
4,1,nearest,saturate,98.74
4,2,nearest,saturate,98.78
4,3,nearest,saturate,98.69
4,4,nearest,saturate,98.81
4,5,nearest,saturate,98.68
4,6,nearest,saturate,98.62
4,7,nearest,saturate,98.69
4,8,nearest,saturate,98.76
5,0,nearest,saturate,98.76
5,1,nearest,saturate,98.63
5,2,nearest,saturate,98.69
5,3,nearest,saturate,98.74
5,4,nearest,saturate,98.71
5,5,nearest,saturate,98.72
5,6,nearest,saturate,98.73
5,7,nearest,saturate,98.8
5,8,nearest,saturate,98.76
