m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.87
0,3,nearest,wrap,9.74
0,4,nearest,wrap,10.01
0,5,nearest,wrap,9.84
0,6,nearest,wrap,10.0
0,7,nearest,wrap,9.89
0,8,nearest,wrap,10.44
1,0,nearest,wrap,10.1
1,1,nearest,wrap,9.7
1,2,nearest,wrap,10.26
1,3,nearest,wrap,10.46
1,4,nearest,wrap,9.8
1,5,nearest,wrap,9.78
1,6,nearest,wrap,10.08
1,7,nearest,wrap,10.41
1,8,nearest,wrap,10.16
2,0,nearest,wrap,10.88
2,1,nearest,wrap,10.84
2,2,nearest,wrap,8.5
2,3,nearest,wrap,7.09
2,4,nearest,wrap,6.52
2,5,nearest,wrap,6.31
2,6,nearest,wrap,6.39
2,7,nearest,wrap,6.54
2,8,nearest,wrap,6.27
3,0,nearest,wrap,88.32
3,1,nearest,wrap,89.07
3,2,nearest,wrap,84.42
3,3,nearest,wrap,81.65
3,4,nearest,wrap,80.19
3,5,nearest,wrap,79.38
3,6,nearest,wrap,78.89
3,7,nearest,wrap,78.38
3,8,nearest,wrap,78.22
4,0,nearest,wrap,98.7
4,1,nearest,wrap,98.71
4,2,nearest,wrap,98.78
4,3,nearest,wrap,98.68
4,4,nearest,wrap,98.81
4,5,nearest,wrap,98.68
4,6,nearest,wrap,98.64
4,7,nearest,wrap,98.69
4,8,nearest,wrap,98.77
5,0,nearest,wrap,98.76
5,1,nearest,wrap,98.63
5,2,nearest,wrap,98.69
5,3,nearest,wrap,98.74
5,4,nearest,wrap,98.71
5,5,nearest,wrap,98.72
5,6,nearest,wrap,98.73
5,7,nearest,wrap,98.8
5,8,nearest,wrap,98.76
