m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,98.67
0,3,stochastic,saturate,98.79
0,4,stochastic,saturate,98.72
0,5,stochastic,saturate,98.78
0,6,stochastic,saturate,98.77
0,7,stochastic,saturate,98.68
0,8,stochastic,saturate,98.77
1,0,stochastic,saturate,98.75
1,1,stochastic,saturate,98.65
1,2,stochastic,saturate,98.67
1,3,stochastic,saturate,98.76
1,4,stochastic,saturate,98.66
1,5,stochastic,saturate,98.77
1,6,stochastic,saturate,98.72
1,7,stochastic,saturate,98.73
1,8,stochastic,saturate,98.71
2,0,stochastic,saturate,98.74
2,1,stochastic,saturate,98.63
2,2,stochastic,saturate,98.77
2,3,stochastic,saturate,98.79
2,4,stochastic,saturate,98.69
2,5,stochastic,saturate,98.69
2,6,stochastic,saturate,98.73
2,7,stochastic,saturate,98.7
2,8,stochastic,saturate,98.7
3,0,stochastic,saturate,98.7
3,1,stochastic,saturate,98.64
3,2,stochastic,saturate,98.65
3,3,stochastic,saturate,98.7
3,4,stochastic,saturate,98.69
3,5,stochastic,saturate,98.72
3,6,stochastic,saturate,98.72
3,7,stochastic,saturate,98.74
3,8,stochastic,saturate,98.7
4,0,stochastic,saturate,98.73
4,1,stochastic,saturate,98.6
4,2,stochastic,saturate,98.75
4,3,stochastic,saturate,98.78
4,4,stochastic,saturate,98.7
4,5,stochastic,saturate,98.79
4,6,stochastic,saturate,98.74
4,7,stochastic,saturate,98.77
4,8,stochastic,saturate,98.75
5,0,stochastic,saturate,98.74
5,1,stochastic,saturate,98.63
5,2,stochastic,saturate,98.66
5,3,stochastic,saturate,98.71
5,4,stochastic,saturate,98.69
5,5,stochastic,saturate,98.75
5,6,stochastic,saturate,98.74
5,7,stochastic,saturate,98.73
5,8,stochastic,saturate,98.77
