m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,9.56
0,3,ceil,wrap,10.28
0,4,ceil,wrap,10.12
0,5,ceil,wrap,10.03
0,6,ceil,wrap,10.09
0,7,ceil,wrap,9.39
0,8,ceil,wrap,10.19
1,0,ceil,wrap,9.7
1,1,ceil,wrap,10.2
1,2,ceil,wrap,9.93
1,3,ceil,wrap,9.9
1,4,ceil,wrap,9.9
1,5,ceil,wrap,9.97
1,6,ceil,wrap,9.7
1,7,ceil,wrap,10.39
1,8,ceil,wrap,9.47
2,0,ceil,wrap,8.38
2,1,ceil,wrap,7.78
2,2,ceil,wrap,8.15
2,3,ceil,wrap,8.59
2,4,ceil,wrap,9.02
2,5,ceil,wrap,8.53
2,6,ceil,wrap,8.68
2,7,ceil,wrap,8.76
2,8,ceil,wrap,8.91
3,0,ceil,wrap,41.04
3,1,ceil,wrap,46.36
3,2,ceil,wrap,41.46
3,3,ceil,wrap,38.57
3,4,ceil,wrap,37.54
3,5,ceil,wrap,36.59
3,6,ceil,wrap,36.13
3,7,ceil,wrap,36.49
3,8,ceil,wrap,36.01
4,0,ceil,wrap,98.3
4,1,ceil,wrap,98.67
4,2,ceil,wrap,98.68
4,3,ceil,wrap,98.54
4,4,ceil,wrap,98.59
4,5,ceil,wrap,98.55
4,6,ceil,wrap,98.52
4,7,ceil,wrap,98.58
4,8,ceil,wrap,98.53
5,0,ceil,wrap,98.43
5,1,ceil,wrap,98.66
5,2,ceil,wrap,98.73
5,3,ceil,wrap,98.68
5,4,ceil,wrap,98.72
5,5,ceil,wrap,98.7
5,6,ceil,wrap,98.71
5,7,ceil,wrap,98.69
5,8,ceil,wrap,98.73
