m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,98.69
0,3,stochastic,saturate,98.7
0,4,stochastic,saturate,98.7
0,5,stochastic,saturate,98.71
0,6,stochastic,saturate,98.8
0,7,stochastic,saturate,98.59
0,8,stochastic,saturate,98.72
1,0,stochastic,saturate,98.71
1,1,stochastic,saturate,98.57
1,2,stochastic,saturate,98.71
1,3,stochastic,saturate,98.72
1,4,stochastic,saturate,98.59
1,5,stochastic,saturate,98.7
1,6,stochastic,saturate,98.67
1,7,stochastic,saturate,98.75
1,8,stochastic,saturate,98.78
2,0,stochastic,saturate,98.65
2,1,stochastic,saturate,98.68
2,2,stochastic,saturate,98.73
2,3,stochastic,saturate,98.66
2,4,stochastic,saturate,98.74
2,5,stochastic,saturate,98.76
2,6,stochastic,saturate,98.68
2,7,stochastic,saturate,98.69
2,8,stochastic,saturate,98.71
3,0,stochastic,saturate,98.76
3,1,stochastic,saturate,98.63
3,2,stochastic,saturate,98.69
3,3,stochastic,saturate,98.74
3,4,stochastic,saturate,98.74
3,5,stochastic,saturate,98.69
3,6,stochastic,saturate,98.7
3,7,stochastic,saturate,98.66
3,8,stochastic,saturate,98.72
4,0,stochastic,saturate,98.68
4,1,stochastic,saturate,98.65
4,2,stochastic,saturate,98.75
4,3,stochastic,saturate,98.73
4,4,stochastic,saturate,98.78
4,5,stochastic,saturate,98.73
4,6,stochastic,saturate,98.78
4,7,stochastic,saturate,98.74
4,8,stochastic,saturate,98.75
5,0,stochastic,saturate,98.7
5,1,stochastic,saturate,98.65
5,2,stochastic,saturate,98.7
5,3,stochastic,saturate,98.66
5,4,stochastic,saturate,98.71
5,5,stochastic,saturate,98.79
5,6,stochastic,saturate,98.71
5,7,stochastic,saturate,98.65
5,8,stochastic,saturate,98.68
