m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.12
0,3,stochastic,wrap,9.99
0,4,stochastic,wrap,9.95
0,5,stochastic,wrap,10.44
0,6,stochastic,wrap,10.07
0,7,stochastic,wrap,9.73
0,8,stochastic,wrap,10.05
1,0,stochastic,wrap,10.53
1,1,stochastic,wrap,10.34
1,2,stochastic,wrap,10.07
1,3,stochastic,wrap,9.89
1,4,stochastic,wrap,9.84
1,5,stochastic,wrap,10.23
1,6,stochastic,wrap,10.03
1,7,stochastic,wrap,9.91
1,8,stochastic,wrap,9.59
2,0,stochastic,wrap,8.64
2,1,stochastic,wrap,9.0
2,2,stochastic,wrap,8.66
2,3,stochastic,wrap,8.98
2,4,stochastic,wrap,8.75
2,5,stochastic,wrap,8.96
2,6,stochastic,wrap,9.13
2,7,stochastic,wrap,8.52
2,8,stochastic,wrap,8.77
3,0,stochastic,wrap,35.33
3,1,stochastic,wrap,38.28
3,2,stochastic,wrap,37.69
3,3,stochastic,wrap,36.98
3,4,stochastic,wrap,36.13
3,5,stochastic,wrap,36.44
3,6,stochastic,wrap,36.11
3,7,stochastic,wrap,36.43
3,8,stochastic,wrap,35.62
4,0,stochastic,wrap,98.57
4,1,stochastic,wrap,98.44
4,2,stochastic,wrap,98.61
4,3,stochastic,wrap,98.59
4,4,stochastic,wrap,98.62
4,5,stochastic,wrap,98.62
4,6,stochastic,wrap,98.65
4,7,stochastic,wrap,98.61
4,8,stochastic,wrap,98.65
5,0,stochastic,wrap,98.7
5,1,stochastic,wrap,98.65
5,2,stochastic,wrap,98.7
5,3,stochastic,wrap,98.66
5,4,stochastic,wrap,98.71
5,5,stochastic,wrap,98.79
5,6,stochastic,wrap,98.71
5,7,stochastic,wrap,98.65
5,8,stochastic,wrap,98.68
