m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.65
0,3,trunc,saturate,98.73
0,4,trunc,saturate,98.66
0,5,trunc,saturate,98.66
0,6,trunc,saturate,98.71
0,7,trunc,saturate,98.69
0,8,trunc,saturate,98.76
1,0,trunc,saturate,98.52
1,1,trunc,saturate,98.42
1,2,trunc,saturate,98.65
1,3,trunc,saturate,98.75
1,4,trunc,saturate,98.65
1,5,trunc,saturate,98.68
1,6,trunc,saturate,98.67
1,7,trunc,saturate,98.7
1,8,trunc,saturate,98.7
2,0,trunc,saturate,98.42
2,1,trunc,saturate,98.46
2,2,trunc,saturate,98.63
2,3,trunc,saturate,98.7
2,4,trunc,saturate,98.72
2,5,trunc,saturate,98.73
2,6,trunc,saturate,98.66
2,7,trunc,saturate,98.7
2,8,trunc,saturate,98.71
3,0,trunc,saturate,98.31
3,1,trunc,saturate,98.37
3,2,trunc,saturate,98.66
3,3,trunc,saturate,98.63
3,4,trunc,saturate,98.68
3,5,trunc,saturate,98.69
3,6,trunc,saturate,98.69
3,7,trunc,saturate,98.67
3,8,trunc,saturate,98.68
4,0,trunc,saturate,98.45
4,1,trunc,saturate,98.45
4,2,trunc,saturate,98.64
4,3,trunc,saturate,98.8
4,4,trunc,saturate,98.73
4,5,trunc,saturate,98.67
4,6,trunc,saturate,98.64
4,7,trunc,saturate,98.7
4,8,trunc,saturate,98.66
5,0,trunc,saturate,98.31
5,1,trunc,saturate,98.44
5,2,trunc,saturate,98.71
5,3,trunc,saturate,98.62
5,4,trunc,saturate,98.72
5,5,trunc,saturate,98.7
5,6,trunc,saturate,98.72
5,7,trunc,saturate,98.67
5,8,trunc,saturate,98.74
