m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.13
0,3,trunc,wrap,9.88
0,4,trunc,wrap,10.09
0,5,trunc,wrap,10.16
0,6,trunc,wrap,10.06
0,7,trunc,wrap,9.93
0,8,trunc,wrap,10.28
1,0,trunc,wrap,9.65
1,1,trunc,wrap,9.97
1,2,trunc,wrap,9.82
1,3,trunc,wrap,10.27
1,4,trunc,wrap,10.06
1,5,trunc,wrap,10.26
1,6,trunc,wrap,9.96
1,7,trunc,wrap,10.71
1,8,trunc,wrap,9.71
2,0,trunc,wrap,8.64
2,1,trunc,wrap,8.78
2,2,trunc,wrap,8.06
2,3,trunc,wrap,8.47
2,4,trunc,wrap,9.54
2,5,trunc,wrap,8.57
2,6,trunc,wrap,8.72
2,7,trunc,wrap,8.69
2,8,trunc,wrap,8.88
3,0,trunc,wrap,59.67
3,1,trunc,wrap,49.13
3,2,trunc,wrap,44.23
3,3,trunc,wrap,40.38
3,4,trunc,wrap,38.64
3,5,trunc,wrap,37.12
3,6,trunc,wrap,36.24
3,7,trunc,wrap,36.63
3,8,trunc,wrap,36.09
4,0,trunc,wrap,98.27
4,1,trunc,wrap,98.34
4,2,trunc,wrap,98.52
4,3,trunc,wrap,98.66
4,4,trunc,wrap,98.63
4,5,trunc,wrap,98.5
4,6,trunc,wrap,98.51
4,7,trunc,wrap,98.53
4,8,trunc,wrap,98.57
5,0,trunc,wrap,98.31
5,1,trunc,wrap,98.44
5,2,trunc,wrap,98.71
5,3,trunc,wrap,98.62
5,4,trunc,wrap,98.72
5,5,trunc,wrap,98.7
5,6,trunc,wrap,98.72
5,7,trunc,wrap,98.67
5,8,trunc,wrap,98.74
