m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
3,8,ceil,saturate,97.81,10000,9781,173.92168617248535,57.497142651219384
3,7,ceil,saturate,97.8,10000,9780,174.4370346069336,57.32727584215947
4,5,ceil,saturate,97.8,10000,9780,177.30358862876892,56.40043767493954
4,6,ceil,saturate,97.78,10000,9778,175.0935981273651,57.1123108266122
4,3,ceil,saturate,97.77,10000,9777,176.98218607902527,56.502861793869165
4,2,ceil,saturate,97.77,10000,9777,174.86585307121277,57.18669382482341
5,7,ceil,saturate,97.77,10000,9777,175.4540617465973,56.99497578142523
5,5,ceil,saturate,97.76,10000,9776,173.92523050308228,57.49597094725588
3,2,ceil,saturate,97.75,10000,9775,176.09678483009338,56.78695388816144
4,4,ceil,saturate,97.72,10000,9772,175.2476716041565,57.062099076486795
5,2,ceil,saturate,97.71,10000,9771,178.14846968650818,56.13295481907435
2,7,ceil,saturate,97.69,10000,9769,175.04938626289368,57.12673556582337
4,7,ceil,saturate,97.69,10000,9769,173.68078994750977,57.57689150897013
3,6,ceil,saturate,97.68,10000,9768,175.31103324890137,57.04147545466975
5,6,ceil,saturate,97.68,10000,9768,175.03304481506348,57.13206903625431
5,4,ceil,saturate,97.68,10000,9768,177.52471804618835,56.33018381923694
2,2,ceil,saturate,97.67,10000,9767,179.69764113426208,55.649033214233704
2,5,ceil,saturate,97.67,10000,9767,176.1721408367157,56.762663792957206
4,8,ceil,saturate,97.65,10000,9765,175.60119891166687,56.94721939245031
3,5,ceil,saturate,97.64,10000,9764,173.71889185905457,57.56426312063641
3,3,ceil,saturate,97.63,10000,9763,174.0225706100464,57.46381038358651
5,8,ceil,saturate,97.63,10000,9763,172.27152800559998,58.047897500943584
2,8,ceil,saturate,97.59,10000,9759,178.80611634254456,55.92649851441705
2,6,ceil,saturate,97.59,10000,9759,174.61720633506775,57.26812500259166
3,4,ceil,saturate,97.58,10000,9758,176.3948700428009,56.69099105644951
2,4,ceil,saturate,97.58,10000,9758,178.83252143859863,55.91824081859438
5,3,ceil,saturate,97.58,10000,9758,176.26574158668518,56.732521645915696
2,3,ceil,saturate,97.49,10000,9749,176.2327642440796,56.74313765033021
1,8,ceil,saturate,92.38,10000,9238,173.08915734291077,57.773693936176365
1,5,ceil,saturate,92.35,10000,9235,173.72783017158508,57.56130143410724
1,6,ceil,saturate,92.31,10000,9231,173.68351006507874,57.57598977734287
1,3,ceil,saturate,92.29,10000,9229,173.23261666297913,57.725849742573686
1,7,ceil,saturate,92.27,10000,9227,171.50733256340027,58.30654497703968
1,4,ceil,saturate,92.21,10000,9221,169.54713821411133,58.980647537510045
1,2,ceil,saturate,91.1,10000,9110,171.3097186088562,58.373804365603746
0,6,ceil,saturate,49.54,10000,4954,167.83513832092285,59.58227877691908
0,7,ceil,saturate,49.3,10000,4930,167.59547448158264,59.66748225709947
0,3,ceil,saturate,49.24,10000,4924,167.67990231513977,59.63743932296592
0,4,ceil,saturate,49.17,10000,4917,172.88883638381958,57.840634532351366
0,8,ceil,saturate,49.11,10000,4911,164.77128076553345,60.69018795957421
0,5,ceil,saturate,49.09,10000,4909,167.25455594062805,59.78910376318715
0,2,ceil,saturate,39.1,10000,3910,152.75685954093933,65.46350867680654
1,1,ceil,saturate,12.77,10000,1277,388.377671957016,25.748133124158482
2,1,ceil,saturate,9.83,10000,983,404.33512568473816,24.731959616580635
0,1,ceil,saturate,9.8,10000,980,108.52834820747375,92.14182437277115
0,0,ceil,saturate,9.8,10000,980,112.32009673118591,89.03126235666319
2,0,ceil,saturate,9.8,10000,980,435.56546115875244,22.958661537112228
1,0,ceil,saturate,9.8,10000,980,437.00347089767456,22.883113444061237
3,0,ceil,saturate,9.8,10000,980,435.3452913761139,22.970272558571356
3,1,ceil,saturate,9.8,10000,980,408.5474009513855,24.476963937875926
4,1,ceil,saturate,9.8,10000,980,406.51847648620605,24.5991279078783
4,0,ceil,saturate,9.8,10000,980,433.466032743454,23.069858407840876
5,0,ceil,saturate,9.8,10000,980,432.93961930274963,23.097909163649714
5,1,ceil,saturate,9.8,10000,980,406.80453658103943,24.581830094728804
