m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,3,ceil,wrap,97.74,10000,9774,103.30442214012146,96.80127716542535
5,6,ceil,wrap,97.74,10000,9774,105.63697457313538,94.66382429455821
5,5,ceil,wrap,97.74,10000,9774,104.2594199180603,95.91459465110407
5,7,ceil,wrap,97.73,10000,9773,108.09021663665771,92.51531092415814
5,4,ceil,wrap,97.7,10000,9770,106.95646262168884,93.49598663682974
5,2,ceil,wrap,97.68,10000,9768,101.80755376815796,98.22453865036948
5,1,ceil,wrap,97.66,10000,9766,104.71238446235657,95.49968756174142
4,3,ceil,wrap,97.61,10000,9761,107.12528538703918,93.34864279586671
4,2,ceil,wrap,97.6,10000,9760,104.80832934379578,95.41226410734653
4,7,ceil,wrap,97.59,10000,9759,105.30626034736633,94.96111595847869
4,5,ceil,wrap,97.55,10000,9755,106.57992029190063,93.82630398495365
4,6,ceil,wrap,97.54,10000,9754,106.93139266967773,93.51790667209438
5,8,ceil,wrap,97.53,10000,9753,106.702805519104,93.71824809432594
4,8,ceil,wrap,97.5,10000,9750,104.98009824752808,95.2561501363947
4,1,ceil,wrap,97.48,10000,9748,101.45728921890259,98.5636426617329
4,4,ceil,wrap,97.35,10000,9735,107.07455587387085,93.39286928053723
5,0,ceil,wrap,96.98,10000,9698,117.31759309768677,85.23870747734576
4,0,ceil,wrap,96.83,10000,9683,110.37323713302612,90.60167355558858
3,0,ceil,wrap,69.59,10000,6959,113.410160779953,88.17552088126176
3,1,ceil,wrap,63.84,10000,6384,112.38816857337952,88.97733744518567
3,2,ceil,wrap,58.47,10000,5847,111.67496848106384,89.5455815749404
3,3,ceil,wrap,57.14,10000,5714,110.94436001777649,90.13527139547888
3,4,ceil,wrap,56.38,10000,5638,115.86582708358765,86.30672435269308
3,6,ceil,wrap,56.2,10000,5620,111.96548891067505,89.3132347948563
3,8,ceil,wrap,55.95,10000,5595,114.73108172416687,87.16033920120887
3,7,ceil,wrap,55.93,10000,5593,112.4545087814331,88.92484710805174
3,5,ceil,wrap,55.8,10000,5580,112.53674292564392,88.85986692015132
1,8,ceil,wrap,10.8,10000,1080,134.29033756256104,74.4655213584623
2,5,ceil,wrap,10.78,10000,1078,135.64811372756958,73.72015522518517
2,3,ceil,wrap,10.74,10000,1074,138.00614428520203,72.4605418968456
2,1,ceil,wrap,10.73,10000,1073,129.09977293014526,77.4594700907097
2,0,ceil,wrap,10.6,10000,1060,131.41072845458984,76.09728762332819
2,2,ceil,wrap,10.52,10000,1052,134.16600227355957,74.534530585553
2,8,ceil,wrap,10.44,10000,1044,135.55295705795288,73.77190595498928
0,4,ceil,wrap,10.37,10000,1037,104.09894609451294,96.06245188035675
1,0,ceil,wrap,10.34,10000,1034,113.98382520675659,87.7317459899322
0,7,ceil,wrap,10.23,10000,1023,107.06556105613708,93.40071542479244
0,6,ceil,wrap,10.15,10000,1015,107.27902626991272,93.21486545599437
1,2,ceil,wrap,10.14,10000,1014,127.54258298873901,78.40518645355426
2,7,ceil,wrap,10.14,10000,1014,133.738121509552,74.77299581545093
1,1,ceil,wrap,10.13,10000,1013,115.86914467811584,86.30425319682796
2,6,ceil,wrap,10.07,10000,1007,137.09619140625,72.94148653894783
1,7,ceil,wrap,10.05,10000,1005,135.0646460056305,74.03861999226005
1,3,ceil,wrap,10.02,10000,1002,132.48950457572937,75.47767675653223
2,4,ceil,wrap,10.01,10000,1001,134.50308871269226,74.34773502756268
0,2,ceil,wrap,10.0,10000,1000,91.85258626937866,108.8700972520547
0,8,ceil,wrap,9.99,10000,999,105.27854466438293,94.98611546995602
1,6,ceil,wrap,9.92,10000,992,134.0894432067871,74.5770864644312
0,5,ceil,wrap,9.88,10000,988,107.23629593849182,93.2520086831026
1,4,ceil,wrap,9.84,10000,984,134.2039999961853,74.51342732172101
0,1,ceil,wrap,9.8,10000,980,67.11928248405457,148.98848184760743
0,0,ceil,wrap,9.8,10000,980,66.21068954467773,151.03301398563727
0,3,ceil,wrap,9.76,10000,976,100.66871452331543,99.33572756294554
1,5,ceil,wrap,9.13,10000,913,133.8976948261261,74.6838846851365
