m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
0,8,floor,saturate,97.83,10000,9783,106.87308764457703,93.56892572671379
0,5,floor,saturate,97.77,10000,9777,107.14206457138062,93.33402375626018
2,5,floor,saturate,97.77,10000,9777,105.02572965621948,95.21476339876887
0,6,floor,saturate,97.76,10000,9776,107.03964304924011,93.42333097467285
2,7,floor,saturate,97.76,10000,9776,106.98164343833923,93.47398000820279
3,7,floor,saturate,97.76,10000,9776,104.49655675888062,95.69693308722493
3,5,floor,saturate,97.76,10000,9776,103.51368570327759,96.60558342657262
1,5,floor,saturate,97.75,10000,9775,104.82962775230408,95.39287904015482
4,5,floor,saturate,97.75,10000,9775,106.76712250709534,93.66179180613805
5,8,floor,saturate,97.75,10000,9775,106.03712511062622,94.30659299341828
0,3,floor,saturate,97.75,10000,9775,102.33636665344238,97.7169732228677
0,2,floor,saturate,97.75,10000,9775,106.33608365058899,94.04145476016514
0,7,floor,saturate,97.73,10000,9773,105.09728908538818,95.14993285769074
5,7,floor,saturate,97.73,10000,9773,106.07668375968933,94.2714237056508
5,4,floor,saturate,97.73,10000,9773,105.93273329734802,94.39952778269665
1,8,floor,saturate,97.72,10000,9772,103.92798089981079,96.22047800236064
3,3,floor,saturate,97.72,10000,9772,103.08231616020203,97.00984972494047
2,6,floor,saturate,97.72,10000,9772,103.48063850402832,96.63643503331029
4,7,floor,saturate,97.72,10000,9772,106.29813241958618,94.07503003465213
4,6,floor,saturate,97.72,10000,9772,105.98564863204956,94.35239703742349
5,6,floor,saturate,97.71,10000,9771,104.86703705787659,95.35884945887196
3,8,floor,saturate,97.71,10000,9771,104.42177224159241,95.76546907156288
4,8,floor,saturate,97.7,10000,9770,107.02932596206665,93.43233651255733
2,8,floor,saturate,97.7,10000,9770,105.37583255767822,94.89841984903349
1,6,floor,saturate,97.69,10000,9769,106.11861777305603,94.23417124962819
1,3,floor,saturate,97.69,10000,9769,103.66654515266418,96.46313557834434
5,5,floor,saturate,97.68,10000,9768,105.16333389282227,95.090176678799
4,2,floor,saturate,97.68,10000,9768,102.37923741340637,97.67605476118264
1,4,floor,saturate,97.68,10000,9768,103.43986010551453,96.67453136343603
1,7,floor,saturate,97.68,10000,9768,104.19634914398193,95.97265242164744
1,2,floor,saturate,97.67,10000,9767,104.7960090637207,95.42348119306288
2,3,floor,saturate,97.66,10000,9766,105.57036232948303,94.72355478699785
2,2,floor,saturate,97.66,10000,9766,100.97090172767639,99.03843413194926
5,3,floor,saturate,97.65,10000,9765,104.75456976890564,95.46122925291519
0,4,floor,saturate,97.65,10000,9765,104.0519745349884,96.1058167775318
3,6,floor,saturate,97.64,10000,9764,103.69206118583679,96.43939840368311
4,4,floor,saturate,97.62,10000,9762,106.02293467521667,94.31921527765014
4,3,floor,saturate,97.62,10000,9762,103.20488286018372,96.89464028119143
2,4,floor,saturate,97.62,10000,9762,106.13836002349854,94.21664323611225
3,2,floor,saturate,97.6,10000,9760,102.97256851196289,97.11324233733419
5,2,floor,saturate,97.57,10000,9757,104.6637613773346,95.54405334190048
3,4,floor,saturate,97.55,10000,9755,104.66705012321472,95.54105124991997
5,0,floor,saturate,97.55,10000,9755,101.58192992210388,98.44270538734895
4,0,floor,saturate,97.51,10000,9751,99.26135039329529,100.74414623997963
4,1,floor,saturate,97.5,10000,9750,99.54265904426575,100.45944217295911
1,0,floor,saturate,97.5,10000,9750,100.96168231964111,99.04747791682347
2,1,floor,saturate,97.47,10000,9747,98.59776139259338,101.42218097814943
2,0,floor,saturate,97.47,10000,9747,97.47116494178772,102.594444274594
3,0,floor,saturate,97.44,10000,9744,100.63737344741821,99.36666327271425
3,1,floor,saturate,97.41,10000,9741,98.48120474815369,101.54221839155028
5,1,floor,saturate,97.41,10000,9741,101.18405389785767,98.82980187861129
1,1,floor,saturate,97.34,10000,9734,100.65826535224915,99.3460394435116
0,1,floor,saturate,9.8,10000,980,72.6696252822876,137.60907616015172
0,0,floor,saturate,9.8,10000,980,69.45651006698608,143.97498507131556
