m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,8,floor,wrap,97.75,10000,9775,191.8669831752777,52.11944147193175
5,5,floor,wrap,97.74,10000,9774,197.67791891098022,50.587339522242104
5,4,floor,wrap,97.69,10000,9769,198.00549507141113,50.503648883044775
5,2,floor,wrap,97.69,10000,9769,191.47890853881836,52.22507312325059
5,6,floor,wrap,97.69,10000,9769,196.49467730522156,50.891963778065474
5,3,floor,wrap,97.65,10000,9765,190.9290735721588,52.37547018328064
5,7,floor,wrap,97.6,10000,9760,196.92996096611023,50.779474849542595
4,6,floor,wrap,97.56,10000,9756,194.83397793769836,51.32574977860216
4,8,floor,wrap,97.51,10000,9751,195.1686475276947,51.2377378573625
4,3,floor,wrap,97.49,10000,9749,194.8043863773346,51.333546363941096
4,4,floor,wrap,97.49,10000,9749,196.6897315979004,50.84149497159997
4,5,floor,wrap,97.46,10000,9746,198.16108012199402,50.46399622894513
4,2,floor,wrap,97.46,10000,9746,193.03976774215698,51.80279751142775
4,7,floor,wrap,97.46,10000,9746,194.15388321876526,51.50553691852961
3,2,floor,wrap,56.88,10000,5688,219.17294120788574,45.62607019319502
3,3,floor,wrap,56.85,10000,5685,214.51881980895996,46.615956627514144
3,5,floor,wrap,56.26,10000,5626,217.89996242523193,45.892619203325026
3,7,floor,wrap,56.05,10000,5605,219.70389485359192,45.515806657246024
3,6,floor,wrap,55.99,10000,5599,219.15799951553345,45.629180874555395
3,4,floor,wrap,55.92,10000,5592,218.87957739830017,45.68722271334968
3,8,floor,wrap,55.61,10000,5561,215.7032995223999,46.35997697829161
4,0,floor,wrap,11.31,10000,1131,307.2154757976532,32.550443541413514
0,2,floor,wrap,10.71,10000,1071,167.2778594493866,59.78077453236248
1,7,floor,wrap,10.53,10000,1053,264.3183629512787,37.83316409932246
0,5,floor,wrap,10.52,10000,1052,203.18430066108704,49.21640091022621
0,7,floor,wrap,10.44,10000,1044,204.0581922531128,49.00562868652707
1,5,floor,wrap,10.31,10000,1031,260.4234027862549,38.39900674444224
3,0,floor,wrap,10.25,10000,1025,308.12524676322937,32.45433506357313
2,5,floor,wrap,10.23,10000,1023,264.2481186389923,37.84322117979464
1,2,floor,wrap,10.21,10000,1021,252.77744936943054,39.56049095734464
2,7,floor,wrap,10.2,10000,1020,266.05923867225647,37.58561457930969
1,0,floor,wrap,10.15,10000,1015,219.33031821250916,45.59333192737631
3,1,floor,wrap,10.13,10000,1013,304.4211473464966,32.849229060351234
1,4,floor,wrap,10.11,10000,1011,258.9777023792267,38.613362880781075
2,0,floor,wrap,10.08,10000,1008,269.08295488357544,37.163260691583815
1,1,floor,wrap,10.07,10000,1007,221.88214921951294,45.0689703303116
2,4,floor,wrap,10.06,10000,1006,265.1679439544678,37.71194907977681
0,4,floor,wrap,10.04,10000,1004,198.66592168807983,50.33575922347033
0,6,floor,wrap,10.01,10000,1001,203.27139925956726,49.1953124562817
2,6,floor,wrap,10.0,10000,1000,266.5824239253998,37.51185037914725
2,8,floor,wrap,9.94,10000,994,267.5312879085541,37.37880559008911
1,3,floor,wrap,9.89,10000,989,252.59097957611084,39.58969562880528
0,3,floor,wrap,9.81,10000,981,182.37131595611572,54.83318441594354
0,0,floor,wrap,9.8,10000,980,121.48463010787964,82.31493968512638
0,1,floor,wrap,9.8,10000,980,117.39798545837402,85.18033730268493
1,6,floor,wrap,9.72,10000,972,259.96310114860535,38.46699764626826
2,2,floor,wrap,9.69,10000,969,266.6334857940674,37.504666640871335
0,8,floor,wrap,9.54,10000,954,203.72205710411072,49.08648647156341
1,8,floor,wrap,9.54,10000,954,263.9563286304474,37.88505489482134
2,3,floor,wrap,9.48,10000,948,265.0283532142639,37.731812006979624
2,1,floor,wrap,9.17,10000,917,285.366760969162,35.04262362595427
4,1,floor,wrap,9.03,10000,903,183.02056980133057,54.638667177438215
5,1,floor,wrap,8.95,10000,895,116.54674959182739,85.80247870508806
5,0,floor,wrap,6.05,10000,605,171.08510851860046,58.450440757751835
