m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,2,stochastic,wrap,97.78,10000,9778,277.929044008255,35.98040656629964
5,6,stochastic,wrap,97.73,10000,9773,301.8971736431122,33.123860946845106
5,8,stochastic,wrap,97.71,10000,9771,281.77197265625,35.48969014104033
5,7,stochastic,wrap,97.7,10000,9770,291.56575989723206,34.29758008459118
5,3,stochastic,wrap,97.68,10000,9768,299.22172832489014,33.42003288324757
5,5,stochastic,wrap,97.66,10000,9766,284.03662395477295,35.20672743101008
5,4,stochastic,wrap,97.61,10000,9761,294.42533254623413,33.96446872800826
4,3,stochastic,wrap,97.54,10000,9754,287.16815304756165,34.82280292530826
4,7,stochastic,wrap,97.5,10000,9750,291.5626358985901,34.29794757198639
4,6,stochastic,wrap,97.47,10000,9747,287.28788685798645,34.808289724179176
4,4,stochastic,wrap,97.47,10000,9747,295.5162479877472,33.83908691347023
4,8,stochastic,wrap,97.46,10000,9746,298.42642045021057,33.50909743485128
4,2,stochastic,wrap,97.45,10000,9745,281.4851133823395,35.52585740623896
4,5,stochastic,wrap,97.36,10000,9736,298.90901231765747,33.454996630790006
3,2,stochastic,wrap,56.56,10000,5656,301.61602449417114,33.154737109112894
3,3,stochastic,wrap,56.54,10000,5654,307.176518201828,32.55457174441171
3,4,stochastic,wrap,56.16,10000,5616,309.02764081954956,32.35956490325504
3,5,stochastic,wrap,56.16,10000,5616,308.3320662975311,32.43256570774673
3,8,stochastic,wrap,56.0,10000,5600,320.7620847225189,31.17575448061663
3,6,stochastic,wrap,55.96,10000,5596,309.6400113105774,32.29556786822917
3,7,stochastic,wrap,55.56,10000,5556,308.6901214122772,32.39494660292126
5,1,stochastic,wrap,51.52,10000,5152,198.17667531967163,50.46002504517427
4,1,stochastic,wrap,26.62,10000,2662,286.11887407302856,34.95050800964502
5,0,stochastic,wrap,18.24,10000,1824,268.371794462204,37.26173989349073
0,5,stochastic,wrap,10.8,10000,1080,293.79775071144104,34.03702028277843
2,7,stochastic,wrap,10.62,10000,1062,371.9809205532074,26.88309923296085
2,6,stochastic,wrap,10.4,10000,1040,371.8043565750122,26.895865589413773
2,3,stochastic,wrap,10.37,10000,1037,373.90700006484985,26.744618309541185
1,3,stochastic,wrap,10.34,10000,1034,360.2434341907501,27.759006968340653
1,6,stochastic,wrap,10.3,10000,1030,366.76593589782715,27.265345609374634
2,8,stochastic,wrap,10.3,10000,1030,377.4885983467102,26.49086633026025
2,0,stochastic,wrap,10.24,10000,1024,514.6349260807037,19.43125017992235
1,5,stochastic,wrap,10.18,10000,1018,365.53663063049316,27.357039382760554
0,6,stochastic,wrap,10.15,10000,1015,292.5189583301544,34.18581844091418
2,5,stochastic,wrap,10.14,10000,1014,379.3646821975708,26.359860232830165
0,3,stochastic,wrap,10.09,10000,1009,270.7718346118927,36.93146303171957
1,2,stochastic,wrap,10.03,10000,1003,349.85763573646545,28.583054873018757
0,8,stochastic,wrap,10.02,10000,1002,290.6446464061737,34.40627626777297
2,2,stochastic,wrap,10.02,10000,1002,374.4600808620453,26.705116275622707
0,7,stochastic,wrap,9.99,10000,999,290.66994166374207,34.40328209639364
0,4,stochastic,wrap,9.98,10000,998,284.0670711994171,35.202953857963806
1,1,stochastic,wrap,9.94,10000,994,378.0889880657196,26.448799927126668
1,7,stochastic,wrap,9.92,10000,992,373.14281582832336,26.799390409812496
1,8,stochastic,wrap,9.86,10000,986,366.6181552410126,27.276336038039524
1,4,stochastic,wrap,9.81,10000,981,361.32478737831116,27.67593132084206
0,0,stochastic,wrap,9.8,10000,980,180.47238063812256,55.41014067992864
0,1,stochastic,wrap,9.8,10000,980,176.33458995819092,56.710370905509855
1,0,stochastic,wrap,9.8,10000,980,417.5387923717499,23.949870485558712
2,4,stochastic,wrap,9.65,10000,965,370.11718702316284,27.018469691801087
0,2,stochastic,wrap,9.5,10000,950,254.14387035369873,39.34779141469254
2,1,stochastic,wrap,9.0,10000,900,474.4830882549286,21.07556675366106
3,0,stochastic,wrap,8.55,10000,855,544.7466144561768,18.357158602964518
3,1,stochastic,wrap,3.81,10000,381,437.7392272949219,22.84465128198943
4,0,stochastic,wrap,2.98,10000,298,446.1547214984894,22.41374912813482
