m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,3,trunc,wrap,97.8,10000,9780,270.82257413864136,36.924543797005384
5,7,trunc,wrap,97.75,10000,9775,287.7936577796936,34.747117351887624
5,4,trunc,wrap,97.71,10000,9771,270.72803115844727,36.93743849578459
5,8,trunc,wrap,97.7,10000,9770,279.61434149742126,35.76354469676665
5,2,trunc,wrap,97.69,10000,9769,269.7738335132599,37.068087255795625
5,6,trunc,wrap,97.67,10000,9767,272.61481261253357,36.681792541526214
4,7,trunc,wrap,97.57,10000,9757,274.00660371780396,36.495470781787716
4,4,trunc,wrap,97.56,10000,9756,277.93732810020447,35.9793341482894
5,5,trunc,wrap,97.56,10000,9756,279.6832072734833,35.75473871844468
4,3,trunc,wrap,97.55,10000,9755,282.45710372924805,35.4036059563423
4,2,trunc,wrap,97.55,10000,9755,274.0390667915344,36.49114747426559
4,8,trunc,wrap,97.5,10000,9750,288.83300256729126,34.62208234902186
4,6,trunc,wrap,97.5,10000,9750,272.77580761909485,36.66014258113402
4,5,trunc,wrap,97.49,10000,9749,273.6707110404968,36.540263888597984
3,2,trunc,wrap,58.56,10000,5856,290.8642108440399,34.38030402909197
3,3,trunc,wrap,57.43,10000,5743,297.45013403892517,33.619080496670314
3,4,trunc,wrap,56.79,10000,5679,298.53506231307983,33.49690291826692
3,5,trunc,wrap,56.17,10000,5617,295.89225697517395,33.796085447545266
3,6,trunc,wrap,56.09,10000,5609,293.982302904129,34.01565298731983
3,8,trunc,wrap,55.94,10000,5594,312.78261828422546,31.9710860368622
3,7,trunc,wrap,55.62,10000,5562,311.6365637779236,32.08866083867532
2,1,trunc,wrap,12.47,10000,1247,182.81900548934937,54.698908208329456
1,1,trunc,wrap,10.69,10000,1069,180.44302797317505,55.419154246772095
2,7,trunc,wrap,10.49,10000,1049,369.49104738235474,27.064255198724354
2,4,trunc,wrap,10.45,10000,1045,370.7030553817749,26.975769028127726
0,3,trunc,wrap,10.42,10000,1042,262.86695861816406,38.04205767270212
1,6,trunc,wrap,10.39,10000,1039,345.36105823516846,28.955204304448966
0,4,trunc,wrap,10.37,10000,1037,273.67508339881897,36.539680104627145
0,6,trunc,wrap,10.35,10000,1035,284.9876289367676,35.08924242539236
2,8,trunc,wrap,10.35,10000,1035,357.6426622867584,27.960870037316703
0,8,trunc,wrap,10.27,10000,1027,280.3792371749878,35.66597905307407
1,8,trunc,wrap,10.26,10000,1026,354.2055311203003,28.232196059647805
1,3,trunc,wrap,10.22,10000,1022,339.1087055206299,29.48906895400137
1,2,trunc,wrap,10.21,10000,1021,334.0782072544098,29.933110819122433
2,5,trunc,wrap,10.18,10000,1018,361.44267868995667,27.666904296539755
1,7,trunc,wrap,10.14,10000,1014,351.8750545978546,28.41917853889541
0,7,trunc,wrap,10.1,10000,1010,282.45371413230896,35.40403081871223
0,5,trunc,wrap,10.08,10000,1008,283.38595509529114,35.28756390427821
2,6,trunc,wrap,10.05,10000,1005,355.8162064552307,28.104397210075405
2,2,trunc,wrap,9.98,10000,998,355.51538014411926,28.128178296945094
3,1,trunc,wrap,9.94,10000,994,179.02038860321045,55.8595592268794
5,1,trunc,wrap,9.85,10000,985,177.1416893005371,56.451985071871384
4,1,trunc,wrap,9.84,10000,984,178.23645639419556,56.10524469743475
1,4,trunc,wrap,9.84,10000,984,348.62456369400024,28.684152069035914
1,0,trunc,wrap,9.8,10000,980,173.27489924430847,57.71176346725516
0,0,trunc,wrap,9.8,10000,980,170.75505018234253,58.56342163421461
0,1,trunc,wrap,9.8,10000,980,180.55389308929443,55.385125343458625
3,0,trunc,wrap,9.8,10000,980,174.15050506591797,57.421596315295695
4,0,trunc,wrap,9.8,10000,980,170.96811056137085,58.49043992569826
2,0,trunc,wrap,9.8,10000,980,179.73627948760986,55.63707020367778
5,0,trunc,wrap,9.8,10000,980,194.53802394866943,51.403832510597454
1,5,trunc,wrap,9.59,10000,959,351.5739543437958,28.44351771923707
2,3,trunc,wrap,9.53,10000,953,357.5301249027252,27.969671094766472
0,2,trunc,wrap,9.52,10000,952,237.71588563919067,42.06702456216231
