m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,98.11
0,3,floor,saturate,98.29
0,4,floor,saturate,98.22
0,5,floor,saturate,98.17
0,6,floor,saturate,98.24
0,7,floor,saturate,98.23
0,8,floor,saturate,98.27
1,0,floor,saturate,96.6
1,1,floor,saturate,97.18
1,2,floor,saturate,98.05
1,3,floor,saturate,98.13
1,4,floor,saturate,98.31
1,5,floor,saturate,98.26
1,6,floor,saturate,98.15
1,7,floor,saturate,98.24
1,8,floor,saturate,98.27
2,0,floor,saturate,96.67
2,1,floor,saturate,97.24
2,2,floor,saturate,98.01
2,3,floor,saturate,98.18
2,4,floor,saturate,98.12
2,5,floor,saturate,98.19
2,6,floor,saturate,98.11
2,7,floor,saturate,98.14
2,8,floor,saturate,98.29
3,0,floor,saturate,96.67
3,1,floor,saturate,97.13
3,2,floor,saturate,98.01
3,3,floor,saturate,98.19
3,4,floor,saturate,98.18
3,5,floor,saturate,98.26
3,6,floor,saturate,98.18
3,7,floor,saturate,98.25
3,8,floor,saturate,98.18
4,0,floor,saturate,96.61
4,1,floor,saturate,97.18
4,2,floor,saturate,98.0
4,3,floor,saturate,98.2
4,4,floor,saturate,98.15
4,5,floor,saturate,98.22
4,6,floor,saturate,98.22
4,7,floor,saturate,98.2
4,8,floor,saturate,98.25
5,0,floor,saturate,96.66
5,1,floor,saturate,97.16
5,2,floor,saturate,98.06
5,3,floor,saturate,98.14
5,4,floor,saturate,98.16
5,5,floor,saturate,98.17
5,6,floor,saturate,98.18
5,7,floor,saturate,98.21
5,8,floor,saturate,98.31
