m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.78
0,3,nearest,wrap,10.43
0,4,nearest,wrap,9.95
0,5,nearest,wrap,9.82
0,6,nearest,wrap,10.7
0,7,nearest,wrap,9.87
0,8,nearest,wrap,9.87
1,0,nearest,wrap,10.28
1,1,nearest,wrap,9.92
1,2,nearest,wrap,9.19
1,3,nearest,wrap,8.93
1,4,nearest,wrap,9.77
1,5,nearest,wrap,9.97
1,6,nearest,wrap,9.34
1,7,nearest,wrap,9.63
1,8,nearest,wrap,9.75
2,0,nearest,wrap,20.0
2,1,nearest,wrap,28.42
2,2,nearest,wrap,20.43
2,3,nearest,wrap,17.77
2,4,nearest,wrap,16.38
2,5,nearest,wrap,15.92
2,6,nearest,wrap,15.69
2,7,nearest,wrap,15.96
2,8,nearest,wrap,15.53
3,0,nearest,wrap,94.28
3,1,nearest,wrap,93.84
3,2,nearest,wrap,93.5
3,3,nearest,wrap,93.35
3,4,nearest,wrap,92.95
3,5,nearest,wrap,92.75
3,6,nearest,wrap,92.85
3,7,nearest,wrap,92.86
3,8,nearest,wrap,92.84
4,0,nearest,wrap,98.12
4,1,nearest,wrap,97.98
4,2,nearest,wrap,98.13
4,3,nearest,wrap,98.2
4,4,nearest,wrap,98.13
4,5,nearest,wrap,98.14
4,6,nearest,wrap,98.16
4,7,nearest,wrap,98.17
4,8,nearest,wrap,98.13
5,0,nearest,wrap,98.26
5,1,nearest,wrap,98.1
5,2,nearest,wrap,98.22
5,3,nearest,wrap,98.22
5,4,nearest,wrap,98.18
5,5,nearest,wrap,98.24
5,6,nearest,wrap,98.19
5,7,nearest,wrap,98.23
5,8,nearest,wrap,98.29
