m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,98.13
0,3,stochastic,saturate,98.27
0,4,stochastic,saturate,98.24
0,5,stochastic,saturate,98.31
0,6,stochastic,saturate,98.17
0,7,stochastic,saturate,98.31
0,8,stochastic,saturate,98.34
1,0,stochastic,saturate,98.15
1,1,stochastic,saturate,97.96
1,2,stochastic,saturate,98.15
1,3,stochastic,saturate,98.12
1,4,stochastic,saturate,98.2
1,5,stochastic,saturate,98.29
1,6,stochastic,saturate,98.22
1,7,stochastic,saturate,98.17
1,8,stochastic,saturate,98.22
2,0,stochastic,saturate,98.22
2,1,stochastic,saturate,98.02
2,2,stochastic,saturate,98.21
2,3,stochastic,saturate,98.19
2,4,stochastic,saturate,98.36
2,5,stochastic,saturate,98.25
2,6,stochastic,saturate,98.27
2,7,stochastic,saturate,98.25
2,8,stochastic,saturate,98.29
3,0,stochastic,saturate,98.27
3,1,stochastic,saturate,98.02
3,2,stochastic,saturate,98.27
3,3,stochastic,saturate,98.24
3,4,stochastic,saturate,98.19
3,5,stochastic,saturate,98.19
3,6,stochastic,saturate,98.21
3,7,stochastic,saturate,98.27
3,8,stochastic,saturate,98.13
4,0,stochastic,saturate,98.17
4,1,stochastic,saturate,98.08
4,2,stochastic,saturate,98.16
4,3,stochastic,saturate,98.14
4,4,stochastic,saturate,98.23
4,5,stochastic,saturate,98.29
4,6,stochastic,saturate,98.23
4,7,stochastic,saturate,98.21
4,8,stochastic,saturate,98.15
5,0,stochastic,saturate,98.13
5,1,stochastic,saturate,97.98
5,2,stochastic,saturate,98.16
5,3,stochastic,saturate,98.23
5,4,stochastic,saturate,98.29
5,5,stochastic,saturate,98.23
5,6,stochastic,saturate,98.22
5,7,stochastic,saturate,98.15
5,8,stochastic,saturate,98.24
