m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,9.95
0,3,trunc,wrap,9.87
0,4,trunc,wrap,10.08
0,5,trunc,wrap,10.72
0,6,trunc,wrap,9.87
0,7,trunc,wrap,9.46
0,8,trunc,wrap,10.09
1,0,trunc,wrap,18.83
1,1,trunc,wrap,11.59
1,2,trunc,wrap,9.07
1,3,trunc,wrap,8.97
1,4,trunc,wrap,9.4
1,5,trunc,wrap,9.31
1,6,trunc,wrap,9.38
1,7,trunc,wrap,9.46
1,8,trunc,wrap,9.49
2,0,trunc,wrap,62.84
2,1,trunc,wrap,46.75
2,2,trunc,wrap,28.86
2,3,trunc,wrap,20.66
2,4,trunc,wrap,17.98
2,5,trunc,wrap,16.66
2,6,trunc,wrap,15.99
2,7,trunc,wrap,15.83
2,8,trunc,wrap,15.69
3,0,trunc,wrap,94.01
3,1,trunc,wrap,93.6
3,2,trunc,wrap,94.05
3,3,trunc,wrap,93.72
3,4,trunc,wrap,93.18
3,5,trunc,wrap,92.98
3,6,trunc,wrap,92.94
3,7,trunc,wrap,92.93
3,8,trunc,wrap,92.94
4,0,trunc,wrap,96.5
4,1,trunc,wrap,97.13
4,2,trunc,wrap,97.89
4,3,trunc,wrap,98.13
4,4,trunc,wrap,98.09
4,5,trunc,wrap,98.18
4,6,trunc,wrap,98.17
4,7,trunc,wrap,98.15
4,8,trunc,wrap,98.14
5,0,trunc,wrap,96.65
5,1,trunc,wrap,97.15
5,2,trunc,wrap,98.08
5,3,trunc,wrap,98.12
5,4,trunc,wrap,98.17
5,5,trunc,wrap,98.19
5,6,trunc,wrap,98.13
5,7,trunc,wrap,98.21
5,8,trunc,wrap,98.32
