m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.78
0,3,floor,wrap,10.41
0,4,floor,wrap,10.02
0,5,floor,wrap,10.29
0,6,floor,wrap,9.96
0,7,floor,wrap,10.16
0,8,floor,wrap,9.97
1,0,floor,wrap,9.74
1,1,floor,wrap,9.45
1,2,floor,wrap,10.15
1,3,floor,wrap,9.92
1,4,floor,wrap,9.99
1,5,floor,wrap,10.16
1,6,floor,wrap,9.95
1,7,floor,wrap,10.16
1,8,floor,wrap,9.84
2,0,floor,wrap,11.82
2,1,floor,wrap,11.58
2,2,floor,wrap,11.11
2,3,floor,wrap,9.81
2,4,floor,wrap,10.02
2,5,floor,wrap,9.17
2,6,floor,wrap,9.61
2,7,floor,wrap,9.22
2,8,floor,wrap,9.99
3,0,floor,wrap,84.54
3,1,floor,wrap,85.24
3,2,floor,wrap,87.09
3,3,floor,wrap,87.52
3,4,floor,wrap,87.89
3,5,floor,wrap,88.17
3,6,floor,wrap,87.92
3,7,floor,wrap,87.92
3,8,floor,wrap,88.07
4,0,floor,wrap,97.79
4,1,floor,wrap,97.86
4,2,floor,wrap,98.32
4,3,floor,wrap,98.31
4,4,floor,wrap,98.33
4,5,floor,wrap,98.32
4,6,floor,wrap,98.41
4,7,floor,wrap,98.31
4,8,floor,wrap,98.34
5,0,floor,wrap,97.76
5,1,floor,wrap,97.9
5,2,floor,wrap,98.28
5,3,floor,wrap,98.35
5,4,floor,wrap,98.3
5,5,floor,wrap,98.37
5,6,floor,wrap,98.39
5,7,floor,wrap,98.37
5,8,floor,wrap,98.29
