m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,98.33
0,3,stochastic,saturate,98.38
0,4,stochastic,saturate,98.31
0,5,stochastic,saturate,98.27
0,6,stochastic,saturate,98.33
0,7,stochastic,saturate,98.24
0,8,stochastic,saturate,98.32
1,0,stochastic,saturate,98.27
1,1,stochastic,saturate,98.26
1,2,stochastic,saturate,98.33
1,3,stochastic,saturate,98.23
1,4,stochastic,saturate,98.34
1,5,stochastic,saturate,98.43
1,6,stochastic,saturate,98.32
1,7,stochastic,saturate,98.34
1,8,stochastic,saturate,98.28
2,0,stochastic,saturate,98.29
2,1,stochastic,saturate,98.25
2,2,stochastic,saturate,98.29
2,3,stochastic,saturate,98.29
2,4,stochastic,saturate,98.45
2,5,stochastic,saturate,98.36
2,6,stochastic,saturate,98.27
2,7,stochastic,saturate,98.33
2,8,stochastic,saturate,98.33
3,0,stochastic,saturate,98.36
3,1,stochastic,saturate,98.27
3,2,stochastic,saturate,98.41
3,3,stochastic,saturate,98.36
3,4,stochastic,saturate,98.34
3,5,stochastic,saturate,98.34
3,6,stochastic,saturate,98.33
3,7,stochastic,saturate,98.32
3,8,stochastic,saturate,98.3
4,0,stochastic,saturate,98.33
4,1,stochastic,saturate,98.29
4,2,stochastic,saturate,98.42
4,3,stochastic,saturate,98.39
4,4,stochastic,saturate,98.27
4,5,stochastic,saturate,98.27
4,6,stochastic,saturate,98.37
4,7,stochastic,saturate,98.34
4,8,stochastic,saturate,98.39
5,0,stochastic,saturate,98.44
5,1,stochastic,saturate,98.27
5,2,stochastic,saturate,98.36
5,3,stochastic,saturate,98.4
5,4,stochastic,saturate,98.25
5,5,stochastic,saturate,98.34
5,6,stochastic,saturate,98.3
5,7,stochastic,saturate,98.39
5,8,stochastic,saturate,98.29
