m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.28
0,3,stochastic,wrap,9.96
0,4,stochastic,wrap,10.4
0,5,stochastic,wrap,9.85
0,6,stochastic,wrap,9.54
0,7,stochastic,wrap,10.01
0,8,stochastic,wrap,10.13
1,0,stochastic,wrap,10.34
1,1,stochastic,wrap,9.84
1,2,stochastic,wrap,9.88
1,3,stochastic,wrap,10.0
1,4,stochastic,wrap,9.34
1,5,stochastic,wrap,10.44
1,6,stochastic,wrap,10.04
1,7,stochastic,wrap,9.8
1,8,stochastic,wrap,10.1
2,0,stochastic,wrap,8.47
2,1,stochastic,wrap,10.24
2,2,stochastic,wrap,10.04
2,3,stochastic,wrap,9.53
2,4,stochastic,wrap,9.65
2,5,stochastic,wrap,9.35
2,6,stochastic,wrap,9.61
2,7,stochastic,wrap,9.35
2,8,stochastic,wrap,9.25
3,0,stochastic,wrap,87.22
3,1,stochastic,wrap,86.84
3,2,stochastic,wrap,87.69
3,3,stochastic,wrap,87.96
3,4,stochastic,wrap,87.8
3,5,stochastic,wrap,87.95
3,6,stochastic,wrap,87.97
3,7,stochastic,wrap,88.06
3,8,stochastic,wrap,88.01
4,0,stochastic,wrap,98.31
4,1,stochastic,wrap,98.25
4,2,stochastic,wrap,98.38
4,3,stochastic,wrap,98.36
4,4,stochastic,wrap,98.24
4,5,stochastic,wrap,98.29
4,6,stochastic,wrap,98.33
4,7,stochastic,wrap,98.31
4,8,stochastic,wrap,98.36
5,0,stochastic,wrap,98.44
5,1,stochastic,wrap,98.27
5,2,stochastic,wrap,98.36
5,3,stochastic,wrap,98.4
5,4,stochastic,wrap,98.25
5,5,stochastic,wrap,98.34
5,6,stochastic,wrap,98.3
5,7,stochastic,wrap,98.39
5,8,stochastic,wrap,98.29
