m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.59
0,3,ceil,saturate,98.6
0,4,ceil,saturate,98.49
0,5,ceil,saturate,98.54
0,6,ceil,saturate,98.59
0,7,ceil,saturate,98.56
0,8,ceil,saturate,98.59
1,0,ceil,saturate,98.21
1,1,ceil,saturate,98.6
1,2,ceil,saturate,98.57
1,3,ceil,saturate,98.56
1,4,ceil,saturate,98.56
1,5,ceil,saturate,98.57
1,6,ceil,saturate,98.62
1,7,ceil,saturate,98.63
1,8,ceil,saturate,98.62
2,0,ceil,saturate,98.22
2,1,ceil,saturate,98.58
2,2,ceil,saturate,98.52
2,3,ceil,saturate,98.6
2,4,ceil,saturate,98.52
2,5,ceil,saturate,98.59
2,6,ceil,saturate,98.58
2,7,ceil,saturate,98.69
2,8,ceil,saturate,98.64
3,0,ceil,saturate,98.08
3,1,ceil,saturate,98.54
3,2,ceil,saturate,98.58
3,3,ceil,saturate,98.59
3,4,ceil,saturate,98.53
3,5,ceil,saturate,98.58
3,6,ceil,saturate,98.57
3,7,ceil,saturate,98.58
3,8,ceil,saturate,98.55
4,0,ceil,saturate,98.22
4,1,ceil,saturate,98.67
4,2,ceil,saturate,98.56
4,3,ceil,saturate,98.64
4,4,ceil,saturate,98.58
4,5,ceil,saturate,98.59
4,6,ceil,saturate,98.6
4,7,ceil,saturate,98.74
4,8,ceil,saturate,98.56
5,0,ceil,saturate,98.15
5,1,ceil,saturate,98.62
5,2,ceil,saturate,98.65
5,3,ceil,saturate,98.63
5,4,ceil,saturate,98.6
5,5,ceil,saturate,98.64
5,6,ceil,saturate,98.65
5,7,ceil,saturate,98.63
5,8,ceil,saturate,98.57
