m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,10.1
0,3,floor,wrap,10.29
0,4,floor,wrap,10.25
0,5,floor,wrap,9.87
0,6,floor,wrap,10.28
0,7,floor,wrap,10.06
0,8,floor,wrap,10.35
1,0,floor,wrap,10.31
1,1,floor,wrap,10.48
1,2,floor,wrap,10.0
1,3,floor,wrap,9.55
1,4,floor,wrap,9.78
1,5,floor,wrap,9.43
1,6,floor,wrap,9.55
1,7,floor,wrap,9.56
1,8,floor,wrap,9.33
2,0,floor,wrap,5.47
2,1,floor,wrap,5.59
2,2,floor,wrap,4.21
2,3,floor,wrap,3.87
2,4,floor,wrap,3.97
2,5,floor,wrap,3.7
2,6,floor,wrap,3.5
2,7,floor,wrap,3.52
2,8,floor,wrap,3.89
3,0,floor,wrap,94.34
3,1,floor,wrap,94.79
3,2,floor,wrap,94.9
3,3,floor,wrap,94.26
3,4,floor,wrap,93.98
3,5,floor,wrap,93.76
3,6,floor,wrap,93.68
3,7,floor,wrap,93.88
3,8,floor,wrap,93.52
4,0,floor,wrap,97.81
4,1,floor,wrap,97.96
4,2,floor,wrap,98.52
4,3,floor,wrap,98.56
4,4,floor,wrap,98.61
4,5,floor,wrap,98.57
4,6,floor,wrap,98.6
4,7,floor,wrap,98.74
4,8,floor,wrap,98.56
5,0,floor,wrap,97.74
5,1,floor,wrap,97.97
5,2,floor,wrap,98.52
5,3,floor,wrap,98.56
5,4,floor,wrap,98.55
5,5,floor,wrap,98.6
5,6,floor,wrap,98.6
5,7,floor,wrap,98.66
5,8,floor,wrap,98.56
