m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.51
0,3,nearest,saturate,98.58
0,4,nearest,saturate,98.46
0,5,nearest,saturate,98.56
0,6,nearest,saturate,98.61
0,7,nearest,saturate,98.55
0,8,nearest,saturate,98.6
1,0,nearest,saturate,98.61
1,1,nearest,saturate,98.49
1,2,nearest,saturate,98.51
1,3,nearest,saturate,98.59
1,4,nearest,saturate,98.53
1,5,nearest,saturate,98.59
1,6,nearest,saturate,98.62
1,7,nearest,saturate,98.63
1,8,nearest,saturate,98.61
2,0,nearest,saturate,98.65
2,1,nearest,saturate,98.49
2,2,nearest,saturate,98.58
2,3,nearest,saturate,98.58
2,4,nearest,saturate,98.48
2,5,nearest,saturate,98.58
2,6,nearest,saturate,98.58
2,7,nearest,saturate,98.69
2,8,nearest,saturate,98.63
3,0,nearest,saturate,98.55
3,1,nearest,saturate,98.49
3,2,nearest,saturate,98.53
3,3,nearest,saturate,98.59
3,4,nearest,saturate,98.54
3,5,nearest,saturate,98.62
3,6,nearest,saturate,98.56
3,7,nearest,saturate,98.6
3,8,nearest,saturate,98.55
4,0,nearest,saturate,98.54
4,1,nearest,saturate,98.47
4,2,nearest,saturate,98.58
4,3,nearest,saturate,98.57
4,4,nearest,saturate,98.62
4,5,nearest,saturate,98.56
4,6,nearest,saturate,98.62
4,7,nearest,saturate,98.72
4,8,nearest,saturate,98.53
5,0,nearest,saturate,98.63
5,1,nearest,saturate,98.57
5,2,nearest,saturate,98.59
5,3,nearest,saturate,98.59
5,4,nearest,saturate,98.61
5,5,nearest,saturate,98.57
5,6,nearest,saturate,98.6
5,7,nearest,saturate,98.63
5,8,nearest,saturate,98.56
