m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,98.58
0,3,ceil,saturate,98.52
0,4,ceil,saturate,98.55
0,5,ceil,saturate,98.57
0,6,ceil,saturate,98.47
0,7,ceil,saturate,98.5
0,8,ceil,saturate,98.54
1,0,ceil,saturate,98.17
1,1,ceil,saturate,98.55
1,2,ceil,saturate,98.54
1,3,ceil,saturate,98.51
1,4,ceil,saturate,98.48
1,5,ceil,saturate,98.5
1,6,ceil,saturate,98.55
1,7,ceil,saturate,98.54
1,8,ceil,saturate,98.51
2,0,ceil,saturate,98.3
2,1,ceil,saturate,98.53
2,2,ceil,saturate,98.48
2,3,ceil,saturate,98.54
2,4,ceil,saturate,98.62
2,5,ceil,saturate,98.5
2,6,ceil,saturate,98.49
2,7,ceil,saturate,98.63
2,8,ceil,saturate,98.44
3,0,ceil,saturate,98.17
3,1,ceil,saturate,98.52
3,2,ceil,saturate,98.51
3,3,ceil,saturate,98.58
3,4,ceil,saturate,98.49
3,5,ceil,saturate,98.58
3,6,ceil,saturate,98.48
3,7,ceil,saturate,98.54
3,8,ceil,saturate,98.45
4,0,ceil,saturate,98.14
4,1,ceil,saturate,98.55
4,2,ceil,saturate,98.49
4,3,ceil,saturate,98.47
4,4,ceil,saturate,98.47
4,5,ceil,saturate,98.52
4,6,ceil,saturate,98.55
4,7,ceil,saturate,98.53
4,8,ceil,saturate,98.55
5,0,ceil,saturate,98.24
5,1,ceil,saturate,98.48
5,2,ceil,saturate,98.61
5,3,ceil,saturate,98.57
5,4,ceil,saturate,98.56
5,5,ceil,saturate,98.5
5,6,ceil,saturate,98.49
5,7,ceil,saturate,98.53
5,8,ceil,saturate,98.49
