m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.69
0,3,ceil,wrap,10.09
0,4,ceil,wrap,10.16
0,5,ceil,wrap,9.31
0,6,ceil,wrap,10.36
0,7,ceil,wrap,10.12
0,8,ceil,wrap,9.93
1,0,ceil,wrap,10.02
1,1,ceil,wrap,9.76
1,2,ceil,wrap,10.09
1,3,ceil,wrap,10.1
1,4,ceil,wrap,10.35
1,5,ceil,wrap,10.51
1,6,ceil,wrap,10.25
1,7,ceil,wrap,10.18
1,8,ceil,wrap,10.5
2,0,ceil,wrap,8.11
2,1,ceil,wrap,8.71
2,2,ceil,wrap,9.24
2,3,ceil,wrap,9.58
2,4,ceil,wrap,9.41
2,5,ceil,wrap,9.88
2,6,ceil,wrap,9.84
2,7,ceil,wrap,9.58
2,8,ceil,wrap,10.19
3,0,ceil,wrap,71.1
3,1,ceil,wrap,69.55
3,2,ceil,wrap,64.59
3,3,ceil,wrap,61.5
3,4,ceil,wrap,60.25
3,5,ceil,wrap,59.55
3,6,ceil,wrap,59.35
3,7,ceil,wrap,58.89
3,8,ceil,wrap,58.91
4,0,ceil,wrap,98.13
4,1,ceil,wrap,98.5
4,2,ceil,wrap,98.48
4,3,ceil,wrap,98.44
4,4,ceil,wrap,98.42
4,5,ceil,wrap,98.48
4,6,ceil,wrap,98.53
4,7,ceil,wrap,98.45
4,8,ceil,wrap,98.48
5,0,ceil,wrap,98.24
5,1,ceil,wrap,98.48
5,2,ceil,wrap,98.61
5,3,ceil,wrap,98.57
5,4,ceil,wrap,98.56
5,5,ceil,wrap,98.5
5,6,ceil,wrap,98.49
5,7,ceil,wrap,98.53
5,8,ceil,wrap,98.49
