m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.33
0,3,nearest,wrap,9.63
0,4,nearest,wrap,10.33
0,5,nearest,wrap,9.92
0,6,nearest,wrap,10.12
0,7,nearest,wrap,9.75
0,8,nearest,wrap,10.3
1,0,nearest,wrap,9.79
1,1,nearest,wrap,9.8
1,2,nearest,wrap,10.6
1,3,nearest,wrap,10.27
1,4,nearest,wrap,10.07
1,5,nearest,wrap,9.83
1,6,nearest,wrap,10.43
1,7,nearest,wrap,10.25
1,8,nearest,wrap,10.72
2,0,nearest,wrap,8.94
2,1,nearest,wrap,9.27
2,2,nearest,wrap,9.54
2,3,nearest,wrap,9.86
2,4,nearest,wrap,9.19
2,5,nearest,wrap,9.9
2,6,nearest,wrap,10.07
2,7,nearest,wrap,9.58
2,8,nearest,wrap,10.12
3,0,nearest,wrap,69.16
3,1,nearest,wrap,64.32
3,2,nearest,wrap,61.88
3,3,nearest,wrap,60.23
3,4,nearest,wrap,59.66
3,5,nearest,wrap,59.23
3,6,nearest,wrap,59.12
3,7,nearest,wrap,59.02
3,8,nearest,wrap,58.79
4,0,nearest,wrap,98.53
4,1,nearest,wrap,98.44
4,2,nearest,wrap,98.46
4,3,nearest,wrap,98.55
4,4,nearest,wrap,98.43
4,5,nearest,wrap,98.47
4,6,nearest,wrap,98.48
4,7,nearest,wrap,98.46
4,8,nearest,wrap,98.53
5,0,nearest,wrap,98.52
5,1,nearest,wrap,98.39
5,2,nearest,wrap,98.56
5,3,nearest,wrap,98.55
5,4,nearest,wrap,98.51
5,5,nearest,wrap,98.55
5,6,nearest,wrap,98.51
5,7,nearest,wrap,98.54
5,8,nearest,wrap,98.48
