m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.49
0,3,trunc,saturate,98.57
0,4,trunc,saturate,98.58
0,5,trunc,saturate,98.61
0,6,trunc,saturate,98.45
0,7,trunc,saturate,98.49
0,8,trunc,saturate,98.52
1,0,trunc,saturate,98.16
1,1,trunc,saturate,98.26
1,2,trunc,saturate,98.51
1,3,trunc,saturate,98.55
1,4,trunc,saturate,98.56
1,5,trunc,saturate,98.54
1,6,trunc,saturate,98.56
1,7,trunc,saturate,98.53
1,8,trunc,saturate,98.5
2,0,trunc,saturate,98.2
2,1,trunc,saturate,98.24
2,2,trunc,saturate,98.46
2,3,trunc,saturate,98.62
2,4,trunc,saturate,98.57
2,5,trunc,saturate,98.51
2,6,trunc,saturate,98.52
2,7,trunc,saturate,98.65
2,8,trunc,saturate,98.5
3,0,trunc,saturate,98.3
3,1,trunc,saturate,98.22
3,2,trunc,saturate,98.4
3,3,trunc,saturate,98.57
3,4,trunc,saturate,98.54
3,5,trunc,saturate,98.51
3,6,trunc,saturate,98.49
3,7,trunc,saturate,98.55
3,8,trunc,saturate,98.48
4,0,trunc,saturate,98.17
4,1,trunc,saturate,98.2
4,2,trunc,saturate,98.48
4,3,trunc,saturate,98.5
4,4,trunc,saturate,98.47
4,5,trunc,saturate,98.5
4,6,trunc,saturate,98.49
4,7,trunc,saturate,98.54
4,8,trunc,saturate,98.56
5,0,trunc,saturate,98.15
5,1,trunc,saturate,98.16
5,2,trunc,saturate,98.48
5,3,trunc,saturate,98.51
5,4,trunc,saturate,98.47
5,5,trunc,saturate,98.53
5,6,trunc,saturate,98.56
5,7,trunc,saturate,98.5
5,8,trunc,saturate,98.48
