m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.65
0,3,nearest,saturate,98.68
0,4,nearest,saturate,98.75
0,5,nearest,saturate,98.71
0,6,nearest,saturate,98.73
0,7,nearest,saturate,98.67
0,8,nearest,saturate,98.74
1,0,nearest,saturate,98.72
1,1,nearest,saturate,98.61
1,2,nearest,saturate,98.72
1,3,nearest,saturate,98.68
1,4,nearest,saturate,98.64
1,5,nearest,saturate,98.69
1,6,nearest,saturate,98.71
1,7,nearest,saturate,98.69
1,8,nearest,saturate,98.7
2,0,nearest,saturate,98.64
2,1,nearest,saturate,98.64
2,2,nearest,saturate,98.68
2,3,nearest,saturate,98.72
2,4,nearest,saturate,98.7
2,5,nearest,saturate,98.74
2,6,nearest,saturate,98.69
2,7,nearest,saturate,98.69
2,8,nearest,saturate,98.72
3,0,nearest,saturate,98.76
3,1,nearest,saturate,98.63
3,2,nearest,saturate,98.64
3,3,nearest,saturate,98.6
3,4,nearest,saturate,98.68
3,5,nearest,saturate,98.64
3,6,nearest,saturate,98.71
3,7,nearest,saturate,98.68
3,8,nearest,saturate,98.68
4,0,nearest,saturate,98.68
4,1,nearest,saturate,98.65
4,2,nearest,saturate,98.69
4,3,nearest,saturate,98.74
4,4,nearest,saturate,98.72
4,5,nearest,saturate,98.68
4,6,nearest,saturate,98.68
4,7,nearest,saturate,98.72
4,8,nearest,saturate,98.65
5,0,nearest,saturate,98.73
5,1,nearest,saturate,98.63
5,2,nearest,saturate,98.72
5,3,nearest,saturate,98.67
5,4,nearest,saturate,98.7
5,5,nearest,saturate,98.7
5,6,nearest,saturate,98.72
5,7,nearest,saturate,98.7
5,8,nearest,saturate,98.74
