m,n,rounding,overflow,acc
5,5,ceil,wrap,96.75
5,8,ceil,wrap,96.6
5,4,ceil,wrap,96.54
4,8,ceil,wrap,96.52
5,3,ceil,wrap,96.52
5,6,ceil,wrap,96.52
5,2,ceil,wrap,96.51
4,2,ceil,wrap,96.5
4,3,ceil,wrap,96.49
4,6,ceil,wrap,96.48
5,7,ceil,wrap,96.48
4,7,ceil,wrap,96.47
4,4,ceil,wrap,96.36
4,5,ceil,wrap,96.29
3,2,ceil,wrap,90.59
3,3,ceil,wrap,90.38
3,6,ceil,wrap,90.23
3,8,ceil,wrap,90.16
3,5,ceil,wrap,90.12
3,4,ceil,wrap,90.08
3,7,ceil,wrap,90.06
2,2,ceil,wrap,17.44
2,3,ceil,wrap,16.46
2,4,ceil,wrap,16.23
2,5,ceil,wrap,15.86
2,7,ceil,wrap,15.76
2,6,ceil,wrap,15.57
2,8,ceil,wrap,15.39
3,0,ceil,wrap,12.55
2,1,ceil,wrap,10.38
0,8,ceil,wrap,10.33
0,2,ceil,wrap,10.14
0,3,ceil,wrap,10.12
1,0,ceil,wrap,10.09
0,7,ceil,wrap,10.09
0,6,ceil,wrap,10.04
3,1,ceil,wrap,10.03
0,5,ceil,wrap,9.92
2,0,ceil,wrap,9.9
1,1,ceil,wrap,9.88
0,4,ceil,wrap,9.81
0,1,ceil,wrap,9.8
5,0,ceil,wrap,9.8
4,1,ceil,wrap,9.8
5,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
1,6,ceil,wrap,9.77
1,5,ceil,wrap,9.6
1,3,ceil,wrap,9.57
1,8,ceil,wrap,9.44
1,4,ceil,wrap,9.37
1,7,ceil,wrap,9.15
1,2,ceil,wrap,9.02
4,0,ceil,wrap,5.79
