m,n,rounding,overflow,acc
3,7,floor,saturate,96.7
4,8,floor,saturate,96.69
3,8,floor,saturate,96.66
4,6,floor,saturate,96.61
4,7,floor,saturate,96.61
3,5,floor,saturate,96.55
5,5,floor,saturate,96.54
4,5,floor,saturate,96.54
5,8,floor,saturate,96.52
5,7,floor,saturate,96.51
3,4,floor,saturate,96.5
3,6,floor,saturate,96.49
5,6,floor,saturate,96.44
4,4,floor,saturate,96.41
5,4,floor,saturate,96.36
4,3,floor,saturate,96.3
2,8,floor,saturate,96.24
3,3,floor,saturate,96.2
2,7,floor,saturate,96.18
4,2,floor,saturate,96.15
2,6,floor,saturate,96.12
5,2,floor,saturate,96.1
5,3,floor,saturate,96.09
2,4,floor,saturate,96.02
2,5,floor,saturate,96.0
3,2,floor,saturate,95.96
2,3,floor,saturate,95.81
2,2,floor,saturate,95.75
1,7,floor,saturate,86.86
1,6,floor,saturate,86.84
1,8,floor,saturate,86.84
1,4,floor,saturate,86.76
1,5,floor,saturate,86.76
1,3,floor,saturate,86.61
1,2,floor,saturate,84.39
0,5,floor,saturate,53.28
0,7,floor,saturate,53.17
0,8,floor,saturate,53.15
0,4,floor,saturate,52.93
0,6,floor,saturate,52.92
0,3,floor,saturate,52.07
0,2,floor,saturate,39.19
0,1,floor,saturate,9.8
0,0,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
