m,n,rounding,overflow,acc
5,6,nearest,saturate,96.64
4,5,nearest,saturate,96.62
4,7,nearest,saturate,96.58
3,8,nearest,saturate,96.56
5,5,nearest,saturate,96.56
5,8,nearest,saturate,96.55
3,5,nearest,saturate,96.54
4,4,nearest,saturate,96.54
3,7,nearest,saturate,96.53
4,6,nearest,saturate,96.51
3,6,nearest,saturate,96.5
5,4,nearest,saturate,96.49
5,7,nearest,saturate,96.45
3,4,nearest,saturate,96.45
5,3,nearest,saturate,96.42
4,3,nearest,saturate,96.39
4,8,nearest,saturate,96.38
3,3,nearest,saturate,96.35
5,2,nearest,saturate,96.29
2,3,nearest,saturate,96.27
2,7,nearest,saturate,96.24
4,2,nearest,saturate,96.22
2,5,nearest,saturate,96.19
2,6,nearest,saturate,96.15
2,4,nearest,saturate,96.13
3,2,nearest,saturate,96.11
2,8,nearest,saturate,96.06
2,2,nearest,saturate,95.58
1,4,nearest,saturate,87.15
1,6,nearest,saturate,86.98
1,3,nearest,saturate,86.96
1,5,nearest,saturate,86.85
1,7,nearest,saturate,86.78
1,8,nearest,saturate,86.72
1,2,nearest,saturate,84.4
0,6,nearest,saturate,53.45
0,4,nearest,saturate,53.32
0,8,nearest,saturate,53.13
0,7,nearest,saturate,53.04
0,5,nearest,saturate,53.01
0,3,nearest,saturate,52.7
0,2,nearest,saturate,38.92
3,1,nearest,saturate,15.48
2,1,nearest,saturate,15.41
5,1,nearest,saturate,15.4
4,1,nearest,saturate,15.38
1,1,nearest,saturate,15.35
1,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
2,0,nearest,saturate,9.8
3,0,nearest,saturate,9.8
4,0,nearest,saturate,9.8
5,0,nearest,saturate,9.8
