m,n,rounding,overflow,acc
5,6,nearest,wrap,96.62
4,6,nearest,wrap,96.59
5,8,nearest,wrap,96.58
5,4,nearest,wrap,96.57
4,7,nearest,wrap,96.53
5,7,nearest,wrap,96.51
4,5,nearest,wrap,96.51
4,4,nearest,wrap,96.5
5,5,nearest,wrap,96.49
4,8,nearest,wrap,96.49
4,3,nearest,wrap,96.4
5,3,nearest,wrap,96.37
4,2,nearest,wrap,96.02
5,2,nearest,wrap,95.91
3,2,nearest,wrap,90.73
3,3,nearest,wrap,90.52
3,6,nearest,wrap,90.26
3,7,nearest,wrap,90.23
3,4,nearest,wrap,90.21
3,8,nearest,wrap,90.2
3,5,nearest,wrap,90.18
2,2,nearest,wrap,18.6
2,3,nearest,wrap,17.05
2,4,nearest,wrap,16.09
2,7,nearest,wrap,15.88
2,6,nearest,wrap,15.72
2,5,nearest,wrap,15.69
5,1,nearest,wrap,15.48
2,8,nearest,wrap,15.15
4,1,nearest,wrap,14.55
3,1,nearest,wrap,13.81
0,2,nearest,wrap,10.63
1,1,nearest,wrap,10.53
0,7,nearest,wrap,10.52
0,5,nearest,wrap,10.41
0,4,nearest,wrap,10.35
0,3,nearest,wrap,10.21
0,8,nearest,wrap,10.18
0,6,nearest,wrap,9.86
2,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,0,nearest,wrap,9.8
4,0,nearest,wrap,9.8
3,0,nearest,wrap,9.8
5,0,nearest,wrap,9.8
1,0,nearest,wrap,9.79
2,1,nearest,wrap,9.66
1,8,nearest,wrap,9.6
1,4,nearest,wrap,9.48
1,6,nearest,wrap,9.29
1,3,nearest,wrap,9.25
1,5,nearest,wrap,9.19
1,2,nearest,wrap,9.06
1,7,nearest,wrap,9.04
