m,n,rounding,overflow,acc
5,7,trunc,wrap,96.68
5,5,trunc,wrap,96.65
4,8,trunc,wrap,96.57
5,6,trunc,wrap,96.51
4,5,trunc,wrap,96.49
4,7,trunc,wrap,96.46
5,4,trunc,wrap,96.45
5,8,trunc,wrap,96.45
4,6,trunc,wrap,96.44
4,4,trunc,wrap,96.34
5,3,trunc,wrap,96.27
5,2,trunc,wrap,96.22
4,2,trunc,wrap,96.18
4,3,trunc,wrap,96.05
3,2,trunc,wrap,90.62
3,4,trunc,wrap,90.43
3,3,trunc,wrap,90.16
3,6,trunc,wrap,90.16
3,5,trunc,wrap,90.06
3,7,trunc,wrap,90.06
3,8,trunc,wrap,90.04
2,2,trunc,wrap,19.1
2,3,trunc,wrap,17.82
2,4,trunc,wrap,16.94
2,6,trunc,wrap,16.0
2,5,trunc,wrap,15.97
2,7,trunc,wrap,15.88
2,8,trunc,wrap,15.57
0,6,trunc,wrap,10.42
0,4,trunc,wrap,10.25
0,8,trunc,wrap,10.13
0,7,trunc,wrap,10.03
0,5,trunc,wrap,10.0
0,2,trunc,wrap,10.0
0,3,trunc,wrap,9.96
1,1,trunc,wrap,9.81
0,1,trunc,wrap,9.8
0,0,trunc,wrap,9.8
2,0,trunc,wrap,9.8
1,0,trunc,wrap,9.8
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
4,1,trunc,wrap,9.8
4,0,trunc,wrap,9.8
5,0,trunc,wrap,9.8
2,1,trunc,wrap,9.8
5,1,trunc,wrap,9.8
1,3,trunc,wrap,9.47
1,2,trunc,wrap,9.43
1,6,trunc,wrap,9.35
1,8,trunc,wrap,9.3
1,5,trunc,wrap,9.15
1,7,trunc,wrap,9.11
1,4,trunc,wrap,9.1
