m,n,rounding,overflow,acc
3,6,nearest,saturate,97.07
5,5,nearest,saturate,96.98
3,8,nearest,saturate,96.97
4,4,nearest,saturate,96.97
4,6,nearest,saturate,96.97
4,7,nearest,saturate,96.95
5,4,nearest,saturate,96.95
3,5,nearest,saturate,96.95
4,8,nearest,saturate,96.95
4,3,nearest,saturate,96.94
3,3,nearest,saturate,96.93
4,5,nearest,saturate,96.9
3,2,nearest,saturate,96.9
2,6,nearest,saturate,96.9
3,4,nearest,saturate,96.9
3,7,nearest,saturate,96.89
5,8,nearest,saturate,96.89
5,6,nearest,saturate,96.87
2,5,nearest,saturate,96.87
4,2,nearest,saturate,96.85
5,3,nearest,saturate,96.84
2,8,nearest,saturate,96.84
5,2,nearest,saturate,96.82
2,7,nearest,saturate,96.81
2,4,nearest,saturate,96.79
5,7,nearest,saturate,96.75
2,2,nearest,saturate,96.74
2,3,nearest,saturate,96.68
1,5,nearest,saturate,91.42
1,3,nearest,saturate,91.31
1,8,nearest,saturate,91.3
1,7,nearest,saturate,91.22
1,4,nearest,saturate,91.06
1,6,nearest,saturate,91.06
1,2,nearest,saturate,89.26
0,3,nearest,saturate,35.11
0,8,nearest,saturate,35.07
0,7,nearest,saturate,34.88
0,6,nearest,saturate,34.8
0,5,nearest,saturate,34.79
0,4,nearest,saturate,34.54
0,2,nearest,saturate,27.07
1,1,nearest,saturate,23.01
2,1,nearest,saturate,22.28
4,1,nearest,saturate,22.17
3,1,nearest,saturate,22.13
5,1,nearest,saturate,21.94
3,0,nearest,saturate,9.86
4,0,nearest,saturate,9.85
1,0,nearest,saturate,9.85
5,0,nearest,saturate,9.85
2,0,nearest,saturate,9.83
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
