m,n,rounding,overflow,acc
4,4,nearest,wrap,97.04
4,8,nearest,wrap,97.03
4,3,nearest,wrap,97.0
4,7,nearest,wrap,96.97
4,6,nearest,wrap,96.93
5,4,nearest,wrap,96.93
5,8,nearest,wrap,96.92
5,5,nearest,wrap,96.91
5,7,nearest,wrap,96.91
5,2,nearest,wrap,96.9
4,2,nearest,wrap,96.84
5,3,nearest,wrap,96.84
5,6,nearest,wrap,96.83
4,5,nearest,wrap,96.78
3,2,nearest,wrap,84.15
3,3,nearest,wrap,83.78
3,5,nearest,wrap,83.58
3,7,nearest,wrap,83.46
3,4,nearest,wrap,83.42
3,8,nearest,wrap,83.4
3,6,nearest,wrap,83.16
3,1,nearest,wrap,22.52
4,1,nearest,wrap,22.38
5,1,nearest,wrap,22.26
0,2,nearest,wrap,10.75
2,1,nearest,wrap,10.5
1,2,nearest,wrap,10.36
0,8,nearest,wrap,10.36
1,7,nearest,wrap,10.34
1,4,nearest,wrap,10.31
0,4,nearest,wrap,10.3
1,3,nearest,wrap,10.18
0,3,nearest,wrap,10.15
0,7,nearest,wrap,10.14
2,2,nearest,wrap,10.1
0,5,nearest,wrap,10.1
2,4,nearest,wrap,9.99
2,5,nearest,wrap,9.94
1,6,nearest,wrap,9.93
0,6,nearest,wrap,9.89
2,6,nearest,wrap,9.88
4,0,nearest,wrap,9.86
5,0,nearest,wrap,9.85
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
2,3,nearest,wrap,9.74
1,8,nearest,wrap,9.74
2,7,nearest,wrap,9.7
1,1,nearest,wrap,9.65
1,5,nearest,wrap,9.51
2,8,nearest,wrap,9.47
1,0,nearest,wrap,7.8
3,0,nearest,wrap,6.3
2,0,nearest,wrap,5.28
