m,n,rounding,overflow,acc
2,3,stochastic,saturate,97.8
5,4,stochastic,saturate,97.8
3,6,stochastic,saturate,97.77
3,2,stochastic,saturate,97.75
5,3,stochastic,saturate,97.74
3,4,stochastic,saturate,97.73
2,7,stochastic,saturate,97.73
2,8,stochastic,saturate,97.73
5,6,stochastic,saturate,97.73
5,2,stochastic,saturate,97.73
3,3,stochastic,saturate,97.72
4,6,stochastic,saturate,97.71
4,5,stochastic,saturate,97.71
4,2,stochastic,saturate,97.7
4,7,stochastic,saturate,97.7
5,7,stochastic,saturate,97.7
4,3,stochastic,saturate,97.69
4,4,stochastic,saturate,97.68
4,8,stochastic,saturate,97.68
5,5,stochastic,saturate,97.67
3,8,stochastic,saturate,97.67
5,8,stochastic,saturate,97.65
3,7,stochastic,saturate,97.64
3,5,stochastic,saturate,97.64
2,4,stochastic,saturate,97.63
2,2,stochastic,saturate,97.61
2,6,stochastic,saturate,97.6
2,5,stochastic,saturate,97.6
1,6,stochastic,saturate,94.35
1,4,stochastic,saturate,94.33
1,8,stochastic,saturate,94.25
1,3,stochastic,saturate,94.23
1,5,stochastic,saturate,94.2
1,7,stochastic,saturate,94.14
1,2,stochastic,saturate,93.07
0,4,stochastic,saturate,54.03
0,3,stochastic,saturate,53.96
0,5,stochastic,saturate,53.95
0,6,stochastic,saturate,53.94
0,8,stochastic,saturate,53.89
0,7,stochastic,saturate,53.81
5,1,stochastic,saturate,50.54
4,1,stochastic,saturate,50.33
2,1,stochastic,saturate,49.51
3,1,stochastic,saturate,49.44
1,1,stochastic,saturate,42.52
0,2,stochastic,saturate,41.77
4,0,stochastic,saturate,24.09
3,0,stochastic,saturate,24.02
5,0,stochastic,saturate,23.34
2,0,stochastic,saturate,22.03
1,0,stochastic,saturate,15.35
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
