m,n,rounding,overflow,acc
5,6,ceil,saturate,97.8
3,5,ceil,saturate,97.8
5,5,ceil,saturate,97.78
4,2,ceil,saturate,97.77
4,6,ceil,saturate,97.77
4,5,ceil,saturate,97.77
5,8,ceil,saturate,97.76
3,3,ceil,saturate,97.75
4,3,ceil,saturate,97.75
5,4,ceil,saturate,97.73
5,7,ceil,saturate,97.72
5,3,ceil,saturate,97.71
4,4,ceil,saturate,97.7
3,2,ceil,saturate,97.69
3,4,ceil,saturate,97.69
3,8,ceil,saturate,97.68
2,4,ceil,saturate,97.68
2,6,ceil,saturate,97.66
5,2,ceil,saturate,97.66
3,7,ceil,saturate,97.65
2,7,ceil,saturate,97.64
3,6,ceil,saturate,97.63
4,8,ceil,saturate,97.62
2,2,ceil,saturate,97.61
4,7,ceil,saturate,97.58
2,5,ceil,saturate,97.57
2,3,ceil,saturate,97.55
2,8,ceil,saturate,97.54
1,8,ceil,saturate,90.5
1,7,ceil,saturate,90.41
1,5,ceil,saturate,90.37
1,3,ceil,saturate,90.34
1,6,ceil,saturate,90.22
1,4,ceil,saturate,90.15
1,2,ceil,saturate,89.23
0,8,ceil,saturate,52.17
0,7,ceil,saturate,51.8
0,4,ceil,saturate,51.68
0,6,ceil,saturate,51.67
0,3,ceil,saturate,51.56
0,5,ceil,saturate,51.36
0,2,ceil,saturate,34.65
0,1,ceil,saturate,9.8
0,0,ceil,saturate,9.8
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
