m,n,rounding,overflow,acc
5,7,stochastic,wrap,98.36
4,7,stochastic,wrap,98.26
5,6,stochastic,wrap,98.26
4,3,stochastic,wrap,98.26
5,4,stochastic,wrap,98.25
5,3,stochastic,wrap,98.24
5,5,stochastic,wrap,98.24
5,2,stochastic,wrap,98.23
4,5,stochastic,wrap,98.21
4,8,stochastic,wrap,98.21
4,2,stochastic,wrap,98.2
4,6,stochastic,wrap,98.17
4,4,stochastic,wrap,98.16
5,8,stochastic,wrap,98.14
3,2,stochastic,wrap,67.85
3,3,stochastic,wrap,66.32
3,4,stochastic,wrap,65.09
3,5,stochastic,wrap,64.48
3,8,stochastic,wrap,64.42
3,6,stochastic,wrap,64.3
3,7,stochastic,wrap,64.15
5,1,stochastic,wrap,54.08
4,1,stochastic,wrap,27.5
5,0,stochastic,wrap,15.37
3,1,stochastic,wrap,10.96
0,8,stochastic,wrap,10.52
1,6,stochastic,wrap,10.4
0,3,stochastic,wrap,10.39
3,0,stochastic,wrap,10.35
0,7,stochastic,wrap,10.34
1,5,stochastic,wrap,10.27
1,0,stochastic,wrap,10.23
1,4,stochastic,wrap,10.19
0,5,stochastic,wrap,10.11
1,3,stochastic,wrap,10.1
1,2,stochastic,wrap,10.01
0,4,stochastic,wrap,9.96
2,1,stochastic,wrap,9.95
1,7,stochastic,wrap,9.84
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,6,stochastic,wrap,9.79
0,2,stochastic,wrap,9.78
2,0,stochastic,wrap,9.76
4,0,stochastic,wrap,9.58
1,1,stochastic,wrap,9.45
1,8,stochastic,wrap,9.43
2,2,stochastic,wrap,7.83
2,5,stochastic,wrap,7.73
2,3,stochastic,wrap,7.63
2,6,stochastic,wrap,7.24
2,7,stochastic,wrap,7.18
2,4,stochastic,wrap,7.03
2,8,stochastic,wrap,7.01
