m,n,rounding,overflow,acc
5,5,ceil,wrap,98.13
5,3,ceil,wrap,98.12
5,2,ceil,wrap,98.06
5,4,ceil,wrap,98.06
5,7,ceil,wrap,98.05
5,8,ceil,wrap,97.98
5,6,ceil,wrap,97.97
4,5,ceil,wrap,97.83
4,7,ceil,wrap,97.79
4,3,ceil,wrap,97.74
4,2,ceil,wrap,97.69
4,4,ceil,wrap,97.68
4,6,ceil,wrap,97.68
4,8,ceil,wrap,97.58
3,2,ceil,wrap,35.57
3,3,ceil,wrap,35.05
3,5,ceil,wrap,34.32
3,8,ceil,wrap,33.91
3,4,ceil,wrap,33.87
3,7,ceil,wrap,33.87
3,6,ceil,wrap,33.79
4,1,ceil,wrap,17.32
3,0,ceil,wrap,11.4
2,1,ceil,wrap,11.1
0,3,ceil,wrap,10.75
0,2,ceil,wrap,10.48
0,6,ceil,wrap,10.31
1,1,ceil,wrap,10.26
1,4,ceil,wrap,10.23
5,0,ceil,wrap,10.22
1,6,ceil,wrap,10.18
1,7,ceil,wrap,10.14
1,5,ceil,wrap,10.14
1,3,ceil,wrap,10.13
1,8,ceil,wrap,10.13
0,5,ceil,wrap,9.86
1,2,ceil,wrap,9.84
0,4,ceil,wrap,9.83
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
0,8,ceil,wrap,9.78
1,0,ceil,wrap,9.77
2,0,ceil,wrap,9.66
0,7,ceil,wrap,9.63
5,1,ceil,wrap,9.6
2,5,ceil,wrap,9.33
2,7,ceil,wrap,9.26
2,6,ceil,wrap,9.25
2,8,ceil,wrap,9.13
2,3,ceil,wrap,9.12
2,2,ceil,wrap,9.06
2,4,ceil,wrap,8.67
4,0,ceil,wrap,7.9
3,1,ceil,wrap,7.44
