m,n,rounding,overflow,acc
3,8,floor,saturate,98.11
3,5,floor,saturate,98.08
4,3,floor,saturate,98.08
4,8,floor,saturate,98.08
3,6,floor,saturate,98.07
3,3,floor,saturate,98.05
3,2,floor,saturate,98.05
3,4,floor,saturate,98.05
5,8,floor,saturate,98.04
5,2,floor,saturate,98.03
5,7,floor,saturate,98.03
5,6,floor,saturate,98.03
3,7,floor,saturate,98.03
5,3,floor,saturate,98.02
4,7,floor,saturate,98.01
4,2,floor,saturate,98.0
4,4,floor,saturate,98.0
5,5,floor,saturate,97.99
5,4,floor,saturate,97.99
4,6,floor,saturate,97.98
4,5,floor,saturate,97.95
2,6,floor,saturate,97.84
2,3,floor,saturate,97.78
2,7,floor,saturate,97.77
2,5,floor,saturate,97.77
2,4,floor,saturate,97.76
2,2,floor,saturate,97.75
2,8,floor,saturate,97.69
1,3,floor,saturate,89.48
1,7,floor,saturate,89.47
1,5,floor,saturate,89.45
1,8,floor,saturate,89.38
1,6,floor,saturate,89.36
1,4,floor,saturate,89.32
1,2,floor,saturate,88.15
0,4,floor,saturate,54.08
0,8,floor,saturate,53.88
0,6,floor,saturate,53.64
0,7,floor,saturate,53.6
0,5,floor,saturate,53.58
0,3,floor,saturate,53.37
0,2,floor,saturate,41.59
0,1,floor,saturate,9.8
0,0,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
