m,n,rounding,overflow,acc
5,5,trunc,wrap,98.08
5,3,trunc,wrap,98.06
5,2,trunc,wrap,98.05
5,4,trunc,wrap,98.03
5,6,trunc,wrap,98.02
5,7,trunc,wrap,98.01
5,8,trunc,wrap,97.99
4,3,trunc,wrap,97.77
4,6,trunc,wrap,97.73
4,2,trunc,wrap,97.72
4,4,trunc,wrap,97.7
4,7,trunc,wrap,97.68
4,8,trunc,wrap,97.65
4,5,trunc,wrap,97.64
3,2,trunc,wrap,36.86
3,3,trunc,wrap,35.83
3,4,trunc,wrap,34.98
3,7,trunc,wrap,34.28
3,6,trunc,wrap,34.17
3,5,trunc,wrap,34.15
3,8,trunc,wrap,34.01
1,7,trunc,wrap,10.49
0,8,trunc,wrap,10.41
0,3,trunc,wrap,10.16
1,3,trunc,wrap,10.13
0,4,trunc,wrap,10.11
1,1,trunc,wrap,10.02
1,2,trunc,wrap,10.01
1,4,trunc,wrap,10.0
1,8,trunc,wrap,9.99
0,5,trunc,wrap,9.95
0,6,trunc,wrap,9.89
3,1,trunc,wrap,9.85
5,1,trunc,wrap,9.82
0,1,trunc,wrap,9.8
0,0,trunc,wrap,9.8
2,0,trunc,wrap,9.8
1,0,trunc,wrap,9.8
3,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
5,0,trunc,wrap,9.8
4,0,trunc,wrap,9.8
0,7,trunc,wrap,9.75
1,5,trunc,wrap,9.75
1,6,trunc,wrap,9.5
0,2,trunc,wrap,9.23
2,7,trunc,wrap,9.22
2,1,trunc,wrap,9.17
2,6,trunc,wrap,9.07
2,3,trunc,wrap,8.84
2,8,trunc,wrap,8.84
2,4,trunc,wrap,8.8
2,5,trunc,wrap,8.64
2,2,trunc,wrap,8.17
