m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.33
0,3,ceil,wrap,9.93
0,4,ceil,wrap,10.53
0,5,ceil,wrap,9.73
0,6,ceil,wrap,10.04
0,7,ceil,wrap,10.34
0,8,ceil,wrap,10.01
1,0,ceil,wrap,9.69
1,1,ceil,wrap,9.51
1,2,ceil,wrap,9.25
1,3,ceil,wrap,10.17
1,4,ceil,wrap,10.12
1,5,ceil,wrap,9.96
1,6,ceil,wrap,9.5
1,7,ceil,wrap,9.85
1,8,ceil,wrap,9.5
2,0,ceil,wrap,7.97
2,1,ceil,wrap,8.02
2,2,ceil,wrap,8.29
2,3,ceil,wrap,8.42
2,4,ceil,wrap,8.42
2,5,ceil,wrap,7.99
2,6,ceil,wrap,8.39
2,7,ceil,wrap,8.16
2,8,ceil,wrap,8.5
3,0,ceil,wrap,6.26
3,1,ceil,wrap,6.25
3,2,ceil,wrap,5.91
3,3,ceil,wrap,6.51
3,4,ceil,wrap,6.09
3,5,ceil,wrap,6.15
3,6,ceil,wrap,6.29
3,7,ceil,wrap,5.89
3,8,ceil,wrap,6.15
4,0,ceil,wrap,5.25
4,1,ceil,wrap,4.6
4,2,ceil,wrap,4.55
4,3,ceil,wrap,4.75
4,4,ceil,wrap,4.73
4,5,ceil,wrap,4.66
4,6,ceil,wrap,4.86
4,7,ceil,wrap,4.78
4,8,ceil,wrap,4.82
5,0,ceil,wrap,9.79
5,1,ceil,wrap,9.8
5,2,ceil,wrap,9.79
5,3,ceil,wrap,9.79
5,4,ceil,wrap,9.79
5,5,ceil,wrap,9.79
5,6,ceil,wrap,9.79
5,7,ceil,wrap,9.8
5,8,ceil,wrap,9.79
