m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,96.68
0,3,nearest,saturate,96.6
0,4,nearest,saturate,96.8
0,5,nearest,saturate,97.04
0,6,nearest,saturate,96.91
0,7,nearest,saturate,96.82
0,8,nearest,saturate,96.89
1,0,nearest,saturate,96.74
1,1,nearest,saturate,96.3
1,2,nearest,saturate,96.59
1,3,nearest,saturate,96.81
1,4,nearest,saturate,96.81
1,5,nearest,saturate,96.86
1,6,nearest,saturate,96.95
1,7,nearest,saturate,96.84
1,8,nearest,saturate,96.77
2,0,nearest,saturate,96.72
2,1,nearest,saturate,96.35
2,2,nearest,saturate,96.74
2,3,nearest,saturate,96.96
2,4,nearest,saturate,96.86
2,5,nearest,saturate,96.88
2,6,nearest,saturate,96.75
2,7,nearest,saturate,96.71
2,8,nearest,saturate,96.78
3,0,nearest,saturate,96.73
3,1,nearest,saturate,96.29
3,2,nearest,saturate,96.74
3,3,nearest,saturate,96.79
3,4,nearest,saturate,96.79
3,5,nearest,saturate,96.8
3,6,nearest,saturate,96.83
3,7,nearest,saturate,96.86
3,8,nearest,saturate,96.92
4,0,nearest,saturate,96.82
4,1,nearest,saturate,96.42
4,2,nearest,saturate,96.64
4,3,nearest,saturate,96.83
4,4,nearest,saturate,96.77
4,5,nearest,saturate,96.85
4,6,nearest,saturate,96.92
4,7,nearest,saturate,96.87
4,8,nearest,saturate,96.78
5,0,nearest,saturate,96.89
5,1,nearest,saturate,96.25
5,2,nearest,saturate,96.49
5,3,nearest,saturate,96.73
5,4,nearest,saturate,96.79
5,5,nearest,saturate,96.83
5,6,nearest,saturate,96.99
5,7,nearest,saturate,96.77
5,8,nearest,saturate,96.81
