m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.06
0,3,stochastic,wrap,9.28
0,4,stochastic,wrap,9.69
0,5,stochastic,wrap,10.36
0,6,stochastic,wrap,10.28
0,7,stochastic,wrap,9.93
0,8,stochastic,wrap,9.87
1,0,stochastic,wrap,10.1
1,1,stochastic,wrap,9.81
1,2,stochastic,wrap,9.41
1,3,stochastic,wrap,9.74
1,4,stochastic,wrap,9.89
1,5,stochastic,wrap,10.17
1,6,stochastic,wrap,10.48
1,7,stochastic,wrap,9.88
1,8,stochastic,wrap,10.45
2,0,stochastic,wrap,10.6
2,1,stochastic,wrap,9.53
2,2,stochastic,wrap,10.59
2,3,stochastic,wrap,10.24
2,4,stochastic,wrap,10.51
2,5,stochastic,wrap,9.85
2,6,stochastic,wrap,10.08
2,7,stochastic,wrap,10.07
2,8,stochastic,wrap,9.63
3,0,stochastic,wrap,11.5
3,1,stochastic,wrap,9.54
3,2,stochastic,wrap,10.82
3,3,stochastic,wrap,9.98
3,4,stochastic,wrap,9.36
3,5,stochastic,wrap,10.03
3,6,stochastic,wrap,10.94
3,7,stochastic,wrap,10.3
3,8,stochastic,wrap,10.22
4,0,stochastic,wrap,12.71
4,1,stochastic,wrap,9.65
4,2,stochastic,wrap,9.7
4,3,stochastic,wrap,10.6
4,4,stochastic,wrap,11.62
4,5,stochastic,wrap,10.68
4,6,stochastic,wrap,11.42
4,7,stochastic,wrap,10.99
4,8,stochastic,wrap,10.93
5,0,stochastic,wrap,13.36
5,1,stochastic,wrap,12.22
5,2,stochastic,wrap,11.09
5,3,stochastic,wrap,13.44
5,4,stochastic,wrap,13.42
5,5,stochastic,wrap,15.61
5,6,stochastic,wrap,11.87
5,7,stochastic,wrap,16.43
5,8,stochastic,wrap,13.89
