m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.9
0,3,nearest,wrap,9.76
0,4,nearest,wrap,9.51
0,5,nearest,wrap,9.68
0,6,nearest,wrap,10.43
0,7,nearest,wrap,10.4
0,8,nearest,wrap,10.25
1,0,nearest,wrap,10.14
1,1,nearest,wrap,10.35
1,2,nearest,wrap,9.69
1,3,nearest,wrap,10.12
1,4,nearest,wrap,10.41
1,5,nearest,wrap,9.93
1,6,nearest,wrap,10.51
1,7,nearest,wrap,10.18
1,8,nearest,wrap,10.31
2,0,nearest,wrap,8.79
2,1,nearest,wrap,8.56
2,2,nearest,wrap,8.71
2,3,nearest,wrap,8.83
2,4,nearest,wrap,9.07
2,5,nearest,wrap,9.15
2,6,nearest,wrap,9.29
2,7,nearest,wrap,9.17
2,8,nearest,wrap,9.11
3,0,nearest,wrap,42.53
3,1,nearest,wrap,39.92
3,2,nearest,wrap,36.12
3,3,nearest,wrap,34.14
3,4,nearest,wrap,33.68
3,5,nearest,wrap,32.89
3,6,nearest,wrap,33.23
3,7,nearest,wrap,33.2
3,8,nearest,wrap,32.44
4,0,nearest,wrap,97.93
4,1,nearest,wrap,97.79
4,2,nearest,wrap,97.84
4,3,nearest,wrap,97.73
4,4,nearest,wrap,97.81
4,5,nearest,wrap,97.77
4,6,nearest,wrap,97.83
4,7,nearest,wrap,97.82
4,8,nearest,wrap,97.83
5,0,nearest,wrap,98.07
5,1,nearest,wrap,98.23
5,2,nearest,wrap,98.17
5,3,nearest,wrap,98.13
5,4,nearest,wrap,98.15
5,5,nearest,wrap,98.04
5,6,nearest,wrap,98.15
5,7,nearest,wrap,98.15
5,8,nearest,wrap,98.03
