m,n,rounding,overflow,acc
3,5,trunc,saturate,98.11
4,6,trunc,saturate,98.08
5,4,trunc,saturate,98.05
5,8,trunc,saturate,98.04
3,3,trunc,saturate,98.02
4,5,trunc,saturate,98.02
3,7,trunc,saturate,98.02
5,3,trunc,saturate,98.01
5,6,trunc,saturate,98.0
5,5,trunc,saturate,98.0
2,5,trunc,saturate,98.0
4,7,trunc,saturate,97.98
4,4,trunc,saturate,97.97
2,8,trunc,saturate,97.97
2,3,trunc,saturate,97.97
4,3,trunc,saturate,97.96
3,8,trunc,saturate,97.96
5,7,trunc,saturate,97.95
4,8,trunc,saturate,97.94
3,6,trunc,saturate,97.91
2,4,trunc,saturate,97.91
3,4,trunc,saturate,97.88
2,6,trunc,saturate,97.85
2,7,trunc,saturate,97.8
1,6,trunc,saturate,89.79
1,5,trunc,saturate,89.78
1,4,trunc,saturate,89.68
1,8,trunc,saturate,89.66
1,7,trunc,saturate,89.66
1,3,trunc,saturate,88.57
0,5,trunc,saturate,35.16
0,4,trunc,saturate,35.1
0,6,trunc,saturate,34.98
0,7,trunc,saturate,34.94
0,8,trunc,saturate,34.78
0,3,trunc,saturate,32.69
3,2,trunc,saturate,17.62
2,2,trunc,saturate,17.54
5,2,trunc,saturate,17.52
4,2,trunc,saturate,17.46
1,2,trunc,saturate,16.79
0,2,trunc,saturate,14.66
3,1,trunc,saturate,9.83
2,1,trunc,saturate,9.82
4,1,trunc,saturate,9.82
1,1,trunc,saturate,9.81
5,1,trunc,saturate,9.81
1,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
2,0,trunc,saturate,9.8
3,0,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
