m,n,rounding,overflow,acc
5,6,ceil,saturate,98.59
3,7,ceil,saturate,98.58
3,5,ceil,saturate,98.58
5,4,ceil,saturate,98.58
5,8,ceil,saturate,98.58
4,3,ceil,saturate,98.56
4,5,ceil,saturate,98.56
3,4,ceil,saturate,98.56
3,8,ceil,saturate,98.55
5,5,ceil,saturate,98.55
4,6,ceil,saturate,98.54
2,4,ceil,saturate,98.54
3,6,ceil,saturate,98.54
4,4,ceil,saturate,98.53
4,8,ceil,saturate,98.52
2,5,ceil,saturate,98.52
5,3,ceil,saturate,98.51
5,7,ceil,saturate,98.51
3,3,ceil,saturate,98.5
2,6,ceil,saturate,98.5
2,3,ceil,saturate,98.49
4,7,ceil,saturate,98.49
2,8,ceil,saturate,98.48
2,7,ceil,saturate,98.43
1,6,ceil,saturate,91.31
1,8,ceil,saturate,91.29
1,5,ceil,saturate,91.27
1,4,ceil,saturate,91.25
1,7,ceil,saturate,91.22
1,3,ceil,saturate,90.82
0,8,ceil,saturate,49.33
0,5,ceil,saturate,49.32
0,7,ceil,saturate,49.31
0,4,ceil,saturate,49.21
0,6,ceil,saturate,49.06
0,3,ceil,saturate,44.63
0,2,ceil,saturate,10.59
2,2,ceil,saturate,10.41
3,2,ceil,saturate,9.88
4,2,ceil,saturate,9.87
5,2,ceil,saturate,9.84
1,1,ceil,saturate,9.8
1,0,ceil,saturate,9.8
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
2,1,ceil,saturate,9.8
4,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
5,0,ceil,saturate,9.8
4,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
1,2,ceil,saturate,9.78
