m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,25.67
0,3,stochastic,saturate,27.6
0,4,stochastic,saturate,28.07
0,5,stochastic,saturate,31.28
0,6,stochastic,saturate,28.9
0,7,stochastic,saturate,28.97
0,8,stochastic,saturate,30.48
1,0,stochastic,saturate,30.17
1,1,stochastic,saturate,21.63
1,2,stochastic,saturate,25.96
1,3,stochastic,saturate,26.69
1,4,stochastic,saturate,30.46
1,5,stochastic,saturate,30.62
1,6,stochastic,saturate,27.58
1,7,stochastic,saturate,28.98
1,8,stochastic,saturate,30.24
2,0,stochastic,saturate,29.34
2,1,stochastic,saturate,22.97
2,2,stochastic,saturate,26.39
2,3,stochastic,saturate,30.03
2,4,stochastic,saturate,29.36
2,5,stochastic,saturate,28.95
2,6,stochastic,saturate,29.11
2,7,stochastic,saturate,28.37
2,8,stochastic,saturate,30.92
3,0,stochastic,saturate,28.47
3,1,stochastic,saturate,23.66
3,2,stochastic,saturate,26.33
3,3,stochastic,saturate,27.86
3,4,stochastic,saturate,30.0
3,5,stochastic,saturate,31.37
3,6,stochastic,saturate,28.66
3,7,stochastic,saturate,31.4
3,8,stochastic,saturate,28.31
4,0,stochastic,saturate,27.94
4,1,stochastic,saturate,24.12
4,2,stochastic,saturate,27.33
4,3,stochastic,saturate,25.69
4,4,stochastic,saturate,26.69
4,5,stochastic,saturate,28.78
4,6,stochastic,saturate,29.69
4,7,stochastic,saturate,33.55
4,8,stochastic,saturate,31.24
5,0,stochastic,saturate,31.45
5,1,stochastic,saturate,25.3
5,2,stochastic,saturate,27.81
5,3,stochastic,saturate,28.75
5,4,stochastic,saturate,27.86
5,5,stochastic,saturate,31.09
5,6,stochastic,saturate,29.12
5,7,stochastic,saturate,29.99
5,8,stochastic,saturate,29.43
