m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,85.77
0,3,trunc,saturate,91.11
0,4,trunc,saturate,92.8
0,5,trunc,saturate,93.6
0,6,trunc,saturate,93.71
0,7,trunc,saturate,93.87
0,8,trunc,saturate,93.76
1,0,trunc,saturate,36.68
1,1,trunc,saturate,50.08
1,2,trunc,saturate,85.96
1,3,trunc,saturate,91.26
1,4,trunc,saturate,93.04
1,5,trunc,saturate,93.42
1,6,trunc,saturate,93.63
1,7,trunc,saturate,93.78
1,8,trunc,saturate,93.71
2,0,trunc,saturate,36.72
2,1,trunc,saturate,50.73
2,2,trunc,saturate,86.17
2,3,trunc,saturate,91.36
2,4,trunc,saturate,93.02
2,5,trunc,saturate,93.83
2,6,trunc,saturate,93.74
2,7,trunc,saturate,93.75
2,8,trunc,saturate,93.76
3,0,trunc,saturate,36.65
3,1,trunc,saturate,50.08
3,2,trunc,saturate,85.92
3,3,trunc,saturate,91.21
3,4,trunc,saturate,93.02
3,5,trunc,saturate,93.52
3,6,trunc,saturate,93.67
3,7,trunc,saturate,93.77
3,8,trunc,saturate,93.92
4,0,trunc,saturate,36.65
4,1,trunc,saturate,50.4
4,2,trunc,saturate,85.87
4,3,trunc,saturate,91.12
4,4,trunc,saturate,92.84
4,5,trunc,saturate,93.45
4,6,trunc,saturate,93.86
4,7,trunc,saturate,93.79
4,8,trunc,saturate,93.72
5,0,trunc,saturate,36.42
5,1,trunc,saturate,50.2
5,2,trunc,saturate,85.88
5,3,trunc,saturate,91.48
5,4,trunc,saturate,92.98
5,5,trunc,saturate,93.47
5,6,trunc,saturate,93.64
5,7,trunc,saturate,93.57
5,8,trunc,saturate,93.88
